pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,multiplerings
28,1745.64,6.39669,0.527757,0.922581,0.536099,0.486553,-0.372285,0.476462,0.102084,0.0548421,0.00809346,0.64781,0.225779,0.175241,1,1,0.357143,0.0357143,0,0.0357143,0.107143,137,6.04215,0.404075,0.505345,0.255373,0.151047,-0.103681,0.229164,0.0525162,-0.00258012,-0.00317018,6,5,0,1,1.2,0,0.0338333,0,1
19,1208.22,6.87462,0.962258,1.01151,1.13291,1.32411,-2.25145,0.335072,0.0962869,-0.00460162,-0.00834287,1.13989,0.868018,0.213571,1,1,0.368421,0.105263,0.210526,0,0.684211,10,7.99571,0.281646,0.451096,0.203488,0.134557,-0.0310938,0.299823,0.0898936,0.0217834,-0.0101688,2,2,1,0,1,0,0,0,1
35,2032.97,6.76504,0.936915,1.31766,1.3114,1.76745,-2.50396,0.634922,0.167256,0.100608,0.0753381,1.25287,0.675806,0.109267,0.950649,1,0.457143,0.142857,0.171429,0.142857,0.457143,64,5.4251,0.604987,0.744421,0.554162,0.4323,-0.580057,0.209748,0.043994,0.00020013,-0.00116425,7,5,4,0,1.4,0.306,0.0338333,0,1
23,1449.32,6.09113,0.685182,1.07298,0.769189,0.861891,-0.693117,0.558386,0.148379,0.0796778,0.0169499,0.876289,0.494874,0.193504,0.969807,1,0.391304,0.0869565,0.217391,0.130435,0.130435,130,5.8163,0.567608,0.695611,0.483874,0.369966,-0.41614,0.262781,0.0690536,-0.00936763,-0.00375315,9,7,6,1,1.28571,0.0255,0.05075,0,1
32,2079.65,8.09582,0.722419,1.06858,0.79478,0.907942,-0.707021,0.529613,0.144602,0.0785122,0.0393296,0.642826,0.188522,0.109054,0.987704,1,0.21875,0.09375,0,0.0625,0.03125,87,7.55721,0.328837,0.56703,0.321523,0.234423,-0.134816,0.345198,0.119161,0.0348323,-0.0224835,4,3,2,0,1.33333,0,0.35525,0,1
58,4332.22,7.82514,0.56505,1.32151,0.991952,1.33819,-0.848113,0.857578,0.310528,0.324443,0.153135,1.14732,0.509776,0.0784609,0.934445,1,0.327586,0.12069,0,0.258621,0.258621,200,6.42911,0.445977,0.634443,0.402519,0.298271,-0.260104,0.307458,0.0945304,0.010114,-0.0146566,8,5,4,0,1.6,0.1785,0.406,0,1
55,2800.17,8.98657,0.327348,1.16159,0.886997,1.08266,-0.899522,0.866036,0.44095,0.44815,-0.0769646,0.580059,0.229054,0.0706687,0.949113,1,0.363636,0.218182,0,0.4,0.0545455,159,9.03038,0.227213,0.567033,0.321526,0.210686,-0.166567,0.371303,0.137866,0.0599816,-0.0269675,13,9,0,1,1.44444,0.126875,0.190807,0,1
29,2880.12,5.95732,0.776395,0.912867,0.880292,0.95107,-1.24507,0.346527,0.115242,0.0256791,-0.0156941,0.900155,0.538424,0.165809,1,1,0.241379,0.0344828,0.172414,0,0.413793,148,5.64708,0.564935,0.698298,0.48762,0.370632,-0.427897,0.254306,0.0646713,-0.00723104,-0.00273676,9,5,4,1,1.8,0.11475,0.230022,0,1
65,3486.44,8.39528,0.642161,1.38291,1.3822,2.22894,-1.79758,0.841791,0.496579,0.551618,-0.0117996,1.07065,0.612639,0.0830446,0.784122,1,0.4,0.153846,0,0.353846,0.276923,161,7.93797,0.0286858,0.514343,0.264549,0.18713,-0.0730746,0.491933,0.241998,0.165346,-0.0590093,11,8,0,1,1.375,0.25375,0.1624,0,1
17,1268.63,5.92203,0.552087,0.707161,0.452734,0.351313,-0.321713,0.277179,0.0543312,0.0155346,0.000706079,0.786566,0.457701,0.170679,1,1,0.176471,0,0.176471,0,0.176471,47,5.99961,0.416516,0.609239,0.371173,0.253611,-0.234812,0.268804,0.0722553,0.0126988,-0.00715419,10,7,5,0,1.42857,0.239683,0,0,1
29,1768.12,5.78439,1.09819,1.30218,1.50079,2.1946,-3.3121,0.561058,0.216632,0.0277454,-0.0282057,1.46975,1.43237,0.199111,0.809343,1,0.517241,0.0344828,0.275862,0.0689655,0.689655,146,4.92921,0.70394,0.759439,0.576748,0.466564,-0.618814,0.234632,0.055052,-0.0261482,0.00847375,13,9,0,1,1.44444,0.257281,0.0203,0,1
41,2249.24,8.83532,0.402342,1.1395,0.748417,0.975126,-0.0499863,0.812741,0.304752,0.37209,0.339513,0.720511,0.214264,0.118606,0.980503,1,0.365854,0.243902,0.0487805,0.219512,0.0731707,112,9.19565,0.112887,0.529971,0.280869,0.193778,-0.0973721,0.44088,0.194375,0.114024,-0.0424457,0,0,0,0,0,0,0,0,1
23,1651.54,6.83612,0.0488997,0.663834,0.293831,0.184852,-0.13468,0.617246,0.246255,0.145296,-0.0897699,0.334166,0.105344,0.122206,1,1,0.217391,0.0434783,0,0.0434783,0,317,5.77777,0.0457445,0.327526,0.107274,0.0724957,0.0170354,0.301723,0.0910371,0.0589362,0.0147044,13,9,0,1,1.44444,0.239001,0.1421,0,1
38,3721.87,8.5506,0.428121,1.0159,0.587072,0.623473,-0.243169,0.655986,0.189024,0.164314,0.0820212,0.562409,0.156485,0.158164,0.995852,1,0.263158,0.210526,0,0.157895,0.0263158,259,7.57199,0.247048,0.539539,0.291103,0.206852,-0.102428,0.36658,0.134381,0.0567187,-0.0230449,4,4,1,0,1,0,0,0,1
32,1689.46,6.82728,0.650409,1.1629,0.833638,1.07655,-0.377454,0.672987,0.204755,0.201054,0.185732,0.982531,0.473863,0.11044,0.96535,1,0.375,0.03125,0.03125,0.15625,0.1875,82,7.00868,0.524723,0.686096,0.470728,0.360552,-0.384906,0.288621,0.0833024,-0.00327908,-0.00923747,0,0,0,0,0,0,0,0,1
29,1784.99,7.6882,0.663661,1.08882,0.840652,1.00907,-0.726323,0.585368,0.185748,0.133451,0.0622157,0.90975,0.400632,0.111341,0.974568,1,0.344828,0.172414,0,0.103448,0.172414,158,6.70476,0.553519,0.701491,0.492089,0.37209,-0.44185,0.248901,0.0619518,-0.00312434,-0.00358012,6,5,3,0,1.2,0,0,0,1
33,3108.35,6.69495,0.641527,0.913873,0.669533,0.662277,-0.642311,0.392753,0.112048,0.0421817,-0.00957477,0.752315,0.304484,0.257567,1,1,0.454545,0.0606061,0.030303,0,0.151515,108,6.49904,0.293499,0.632939,0.400611,0.294205,-0.259574,0.388775,0.151146,0.0639359,-0.0353792,10,7,0,1,1.42857,0,0.385254,0,1
19,1383.88,6.37712,0.774883,1.04079,0.821217,0.901538,-0.958806,0.437068,0.12817,0.0306796,-0.0134824,0.520356,0.215823,0.153923,0.992436,1,0.157895,0.0526316,0,0.0526316,0,87,6.82354,0.429274,0.631356,0.39861,0.291863,-0.258745,0.310484,0.0964002,0.0126725,-0.0157208,5,3,1,0,1.66667,0,0.338333,0,1
64,3060.59,9.15499,0.50724,1.26442,1.18835,1.66624,-1.62959,0.825277,0.44859,0.486016,0.0101263,0.673403,0.293293,0.0612103,0.906698,1,0.359375,0.234375,0.015625,0.25,0.09375,158,9.1168,0.33246,0.601217,0.361462,0.236696,-0.232046,0.302355,0.0914186,0.0292231,-0.0121212,0,0,0,0,0,0,0,0,1
33,2260.69,7.97477,0.438822,0.958594,0.608191,0.62469,-0.371302,0.590041,0.18461,0.145093,0.0421168,0.677909,0.221174,0.18153,0.994479,1,0.272727,0.181818,0,0.0606061,0.030303,111,7.51241,0.315904,0.593158,0.351836,0.247969,-0.191812,0.345918,0.119659,0.0403108,-0.0223673,15,9,0,1,1.66667,0.109633,0.206708,0,1
40,2562.99,8.06755,0.444947,1.02056,0.618455,0.686429,-0.255802,0.645993,0.206594,0.17982,0.0742836,0.640664,0.166568,0.229603,0.987946,1,0.25,0.1,0,0.175,0.05,140,8.46421,0.1389,0.578671,0.33486,0.240455,-0.15802,0.46449,0.215751,0.127075,-0.0610737,3,2,0,0,1.5,0,0.1015,0,1
26,1725.64,7.60872,0.445291,0.997813,0.548285,0.584457,-0.0964006,0.648689,0.160649,0.155082,0.146266,0.818383,0.227475,0.164598,0.985944,1,0.423077,0.153846,0,0.0769231,0.115385,112,6.88599,0.375101,0.622612,0.387645,0.282962,-0.239689,0.333457,0.111193,0.028678,-0.02087,3,3,2,0,1,0,0,0,1
58,3171.1,7.58303,1.15482,1.60422,1.91835,3.36404,-4.49672,0.741447,0.35301,0.199564,0.0265896,2.00221,2.8816,0.136001,0.771039,1,0.413793,0.0689655,0.0689655,0.206897,0.896552,100,5.10091,0.506693,0.718947,0.516884,0.408955,-0.475071,0.312248,0.0974986,0.0070439,-0.0159771,11,7,6,1,1.57143,0,0.3248,0,1
32,1628.16,6.98694,0.826276,1.23026,1.41239,2.04819,-2.74734,0.581116,0.288104,0.22263,0.00314933,1.16811,0.995489,0.102581,0.862536,1,0.46875,0.125,0.09375,0.1875,0.3125,64,7.69535,0.376028,0.649232,0.421502,0.324032,-0.279955,0.366648,0.13443,0.0370472,-0.0321393,11,6,0,0,1.83333,0.0832827,0.0657317,1,1
40,2537.77,8.27716,0.193868,0.991561,0.483445,0.487472,-0.0913839,0.818884,0.28488,0.267684,0.0809632,0.648647,0.174159,0.222089,0.989409,1,0.4,0.15,0,0.3,0.075,171,7.51916,0.0717958,0.500378,0.250378,0.172664,-0.0651831,0.445839,0.198772,0.124479,-0.0380474,15,9,0,1,1.66667,0.1335,0.1421,0,1
23,1682.98,7.05071,0.299243,0.83652,0.372577,0.309201,-0.0972437,0.586455,0.129709,0.0971404,0.0472827,1.04396,0.547739,0.184904,0.993554,1,0.347826,0.0869565,0.173913,0.130435,0.304348,61,7.35069,0.154535,0.598128,0.357758,0.236419,-0.222451,0.454919,0.206951,0.107364,-0.0696174,10,8,7,1,1.25,0.255,0,0,1
19,1312.57,5.6745,0.703828,0.850807,0.654849,0.602517,-0.699369,0.319475,0.0690461,0.012599,-0.00286834,0.774374,0.438116,0.268619,1,1,0.368421,0,0.263158,0,0.315789,55,6.45919,0.359862,0.56956,0.324398,0.222093,-0.159141,0.304459,0.0926954,0.0202501,-0.0136302,11,9,3,1,1.22222,0.11475,0,1,1
60,5057.21,8.46728,0.915196,1.24428,1.37087,2.007,-2.47306,0.55148,0.281148,0.122406,-0.0573003,0.924136,0.49671,0.183706,0.883828,1,0.283333,0.25,0.0666667,0.1,0.266667,170,9.19865,0.159132,0.554651,0.307638,0.212818,-0.131712,0.426315,0.181745,0.0980187,-0.0426226,7,5,4,1,1.4,0.381649,0,0,1
41,2262.01,6.9415,1.33157,1.50959,2.05851,3.22423,-7.44466,0.425488,0.141256,0.0110124,-0.00861026,1.96287,3.08547,0.132843,0.671479,1,0.365854,0.0487805,0.121951,0.0243902,0.756098,16,5.76097,0.646408,0.72734,0.529023,0.406628,-0.523562,0.208315,0.0433951,-0.013347,0.00486257,7,4,2,0,1.75,0,0.177603,0,1
50,3469.62,7.41277,0.690959,1.2729,1.23038,1.72825,-1.87144,0.719473,0.328728,0.277275,0.00485908,1.24855,0.825178,0.0735144,0.889937,1,0.28,0.08,0.02,0.22,0.48,103,7.19805,0.24099,0.57444,0.329981,0.222738,-0.170706,0.372656,0.138873,0.0602523,-0.0271966,3,3,1,0,1,0,0,0,1
