nrings,energy,evnum,mcevnum
2,846.293,481,256
2,443.809,380,207
2,624.912,742,422
2,796.428,829,472
2,721.605,578,317
4,692.985,579,310
2,922.962,584,311
2,743.631,907,469
3,1084.82,131,80
2,672.135,251,146
3,942.697,212,128
2,679.583,136,67
2,1075.28,446,248
2,695.369,475,266
2,529.656,735,414
2,755.595,161,89
2,878.55,343,200
2,602.388,836,461
2,804.542,248,144
2,1097.1,797,429
2,710.782,916,492
2,659.469,11,8
2,612.672,128,77
3,786.745,419,237
2,1118.49,247,133
2,978.179,361,200
2,937.292,131,70
2,919.857,136,70
2,479.642,290,154
2,624.389,426,254
2,705.841,850,490
2,766.811,191,109
3,876.579,97,63
2,787.272,367,210
2,607.089,30,16
3,809.698,51,25
2,1198.24,112,63
2,600.146,482,254
3,769.228,154,91
2,602.273,84,40
4,765.194,655,377
2,539.112,320,167
2,623.865,373,200
2,1046.57,718,389
2,952.184,121,62
2,621.832,160,84
3,590.878,806,439
2,914.318,911,478
3,610.977,690,353
3,981.796,497,285
3,621.282,521,293
2,680.562,613,346
2,1149.27,669,391
4,740.266,372,184
2,519.45,142,65
2,844.164,158,73
2,1231.3,236,114
2,648.073,374,188
4,572.547,736,385
2,803.976,545,306
2,767.114,1,1
2,561.893,279,151
2,635.852,555,305
2,603.161,50,28
2,788.636,186,103
2,1022.45,423,229
2,994.195,289,158
2,782.314,788,421
2,570.112,189,95
3,862.531,312,162
2,785.839,866,460
2,1143.58,324,167
2,671.973,133,80
2,709.795,133,81
2,719.723,119,77
2,573.268,550,326
2,691.208,345,206
2,596.92,378,224
3,834.512,533,306
2,1034.35,776,423
3,748.68,337,180
3,649.66,453,251
3,999.859,496,271
2,776.811,765,412
2,710.057,842,473
3,986.93,166,95
2,851.871,339,191
2,622.297,389,211
5,623.954,517,275
2,719.591,452,251
3,844.226,138,77
2,671.885,489,275
3,715.197,69,38
3,544.174,710,418
5,633.569,75,43
2,996.987,675,380
4,844.27,358,195
3,1079.5,737,395
2,660.745,117,60
2,529.56,254,143
3,677.038,831,467
3,1031.1,195,107
2,707.864,374,190
3,973.728,191,98
3,619.797,630,370
2,837.309,715,415
2,493.989,152,79
2,935.659,190,91
2,867.373,343,167
2,964.707,731,368
2,1361,267,152
2,807.496,819,448
2,647.09,348,208
3,481.208,487,273
3,804.66,609,348
3,952.517,118,68
4,703.361,873,468
2,754.556,759,397
2,723.919,402,215
4,719.326,574,295
2,807.879,821,461
2,1044.29,953,495
2,932.348,141,71
2,660.5,327,185
2,1037.75,791,424
3,744.475,654,356
4,833.91,426,238
2,1241.48,643,353
2,789.183,818,454
2,837.757,492,275
2,608.209,562,319
3,1125.21,504,287
2,977.602,667,365
3,1060.54,5,4
2,685.962,116,64
2,1029.22,891,471
2,696.636,0,0
2,638.233,211,103
3,642.479,20,14
2,674.771,558,321
2,658.51,267,139
2,941.495,260,139
2,958.321,337,191
2,651.341,575,305
2,932.081,262,149
2,521.901,385,210
3,715.788,155,93
2,548.784,176,107
3,943.517,265,160
5,962.802,403,239
2,793.177,729,416
2,848.612,184,113
2,758.569,89,44
3,845.079,137,74
2,606.89,594,334
3,909.597,607,340
2,572.106,495,284
2,712.6,562,316
2,550.889,717,404
3,510.718,325,179
3,1002.3,841,433
7,840.121,331,188
2,1038.93,488,271
2,717.664,45,23
2,1114.68,427,226
2,950.598,824,445
2,595.619,411,230
2,636.498,685,378
2,887.982,65,28
2,898.02,284,145
2,611.477,616,337
2,950.609,646,355
2,1008.42,803,461
3,1043.71,19,7
2,813.26,110,53
2,606.868,272,140
2,796.537,370,203
5,794.944,352,195
2,868.648,728,396
2,734.943,305,181
2,1177.18,741,417
2,1244.34,185,104
2,684.421,689,393
2,1081.48,676,384
2,875.083,712,393
2,1171.33,206,110
2,791.739,391,221
2,790.317,125,71
3,805.879,239,126
3,1160.43,292,150
2,589.587,757,421
3,580.613,530,297
2,1089.88,148,72
3,824.086,793,447
2,577.24,79,42
2,735.468,660,368
3,691.589,795,440
3,1260.87,359,190
2,839.166,466,242
3,1147.86,477,251
2,722.409,721,382
2,589.348,372,195
2,851.73,625,329
2,625.423,921,491
2,902.462,260,160
3,1085.65,279,173
2,978.93,770,455
3,671.417,825,486
2,1107.82,577,303
2,678.329,199,112
2,1169.69,381,222
2,831.287,801,451
2,921.08,46,25
2,573.861,399,218
4,873.949,40,21
2,736.9,131,80
3,714.382,254,131
2,845.333,446,261
2,903.079,597,339
2,467.482,166,96
2,580.457,755,410
2,820.79,598,312
2,936.952,474,241
2,822.662,260,136
2,932.485,55,29
3,1088.05,970,495
2,982.831,48,32
2,1079.93,290,149
2,641.873,461,238
3,991.742,647,350
2,803.104,210,121
2,936.891,38,15
3,1119.64,255,137
3,530.66,574,323
2,533.375,682,380
3,635.087,320,172
3,893.254,813,444
4,743.971,445,224
2,1023.83,626,323
2,706.937,635,363
2,874.912,355,199
2,629.178,394,223
2,935.646,872,490
2,972.195,885,496
2,978.814,601,319
2,899.414,931,496
2,747.842,105,58
2,629.473,801,435
2,576.411,871,469
2,757.829,895,479
2,925.15,72,33
2,989.847,263,132
3,624.244,789,417
3,845.934,59,35
3,689.319,309,169
2,743.037,797,438
2,1195.19,612,338
2,746.064,200,111
3,1054.91,706,368
2,841.788,52,28
2,822.413,656,352
2,948.018,805,433
7,595.618,18,9
2,632.374,243,134
2,684.24,922,491
2,1254.8,126,57
2,849.105,54,37
2,1118.81,792,437
2,1151.2,921,492
2,783.834,328,169
2,1075.2,586,296
2,617.918,897,462
4,708.302,96,52
2,701.818,464,253
3,1140.02,22,16
2,1144.99,724,399
3,1103.47,886,492
2,870.459,75,39
2,619.904,494,282
2,593.309,553,312
2,632.272,687,385
2,673.65,799,436
2,685.015,821,448
4,1123.67,880,453
2,560.441,110,60
2,632.975,790,423
2,713.062,515,285
2,508.998,738,407
2,1052.98,698,405
2,1002.8,693,371
2,1157.59,759,391
2,669.34,188,106
2,929.387,399,228
2,677.729,721,401
2,533.092,769,425
2,887.289,340,178
2,795.914,146,74
2,883.394,55,24
2,1201.44,294,153
2,953.922,114,69
2,609.889,933,496
2,779.275,218,121
2,1121.05,475,248
2,1215.16,763,388
3,1047.1,661,363
2,682.854,665,366
3,898.6,726,396
2,519.858,821,449
3,678.788,350,199
3,998.024,528,289
2,904.6,155,78
2,880.662,398,231
2,718.879,730,414
2,548.399,857,489
2,952.389,310,172
2,778.4,93,56
2,957.182,249,141
2,807.437,310,168
2,625.148,364,201
2,988.243,366,202
3,1285.19,586,338
2,618.841,767,441
3,653.782,47,20
2,612.793,241,143
2,633.364,733,379
2,635.094,803,417
2,971.872,930,491
3,1136.6,320,179
2,628.594,570,331
3,1010.14,101,54
2,764.841,732,407
2,813.113,561,310
2,612.129,214,113
3,1012.17,234,124
2,1042.96,244,131
2,769.484,923,483
2,1135.76,906,495
2,680.973,96,50
