pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
40,2179.67,9.12768,0.283072,1.06317,0.595083,0.685736,-0.0197565,0.825591,0.292835,0.320061,0.240153,0.590308,0.147461,0.128735,0.990268,1,0.425,0.225,0.025,0.175,0.05,139,8.38397,0.0383019,0.457352,0.209171,0.145487,-0.026009,0.429876,0.184793,0.122881,-0.0177195,5,4,2,0,1.25,0.03825,0,0,1,0,785.794,237,124
17,1541.07,5.93554,0.89554,0.951876,0.989421,1.10498,-1.65466,0.332787,0.103566,-0.00413685,-0.0112208,0.97043,0.546161,0.315181,1,1,0.294118,0.0588235,0.235294,0,0.411765,120,4.91909,0.689429,0.763533,0.582983,0.463426,-0.648983,0.187166,0.0350312,-0.0118425,0.00472218,6,3,1,0,2,0,0.442399,0,1,0,784.867,400,220
21,1639.48,7.1605,0.567099,0.816477,0.49084,0.411469,-0.34449,0.361009,0.0688318,0.0265744,0.00295971,0.460132,0.132725,0.274106,1,1,0.190476,0.047619,0,0,0,110,6.49724,0.399015,0.559785,0.313359,0.201257,-0.160787,0.251867,0.063437,0.00749996,-0.00508133,9,8,0,1,1.125,0.15225,0,0,1,0,1083.34,675,368
23,1583.38,6.80216,0.782489,0.913053,0.876115,0.949992,-1.21969,0.357227,0.11845,0.0221914,-0.0165824,0.7525,0.392686,0.163759,1,1,0.26087,0.0869565,0.0434783,0,0.130435,275,5.49003,0.687537,0.756687,0.572575,0.450133,-0.627177,0.177653,0.0315606,-0.0104135,0.00445653,9,8,1,1,1.125,0,0.0406,0,1,0,1052.58,857,494
21,1307.37,6.2895,0.83006,0.841431,0.936086,1.05331,-1.38123,0.334888,0.12375,0.0196724,-0.0199845,1.11239,0.861662,0.163666,1,1,0.333333,0,0.190476,0,0.619048,49,6.4334,0.555389,0.694585,0.482448,0.375903,-0.402149,0.288781,0.0833945,-0.00983402,-0.00827428,5,4,2,0,1.25,0,0,0,1,0,600.402,258,141
22,1459.26,6.54065,0.744774,1.16386,0.822023,1.0369,-0.345513,0.64604,0.157754,0.148895,0.209149,0.990903,0.469838,0.184807,0.978055,1,0.318182,0.0909091,0,0.0909091,0.318182,54,6.99366,0.312961,0.56435,0.318491,0.234258,-0.127598,0.357149,0.127555,0.0401921,-0.0251836,8,7,5,1,1.14286,0,0,0,1,0,791.219,431,234
36,2253,8.52458,0.846918,1.09459,0.985582,1.20345,-1.29483,0.488571,0.157441,0.0551163,0.00711985,0.585098,0.251179,0.0927069,0.979138,1,0.222222,0.0833333,0,0.0555556,0.0555556,60,9.39908,0.287987,0.549964,0.30246,0.200595,-0.136706,0.325617,0.106027,0.0360795,-0.0160116,0,0,0,0,0,0,0,0,1,0,712.379,591,323
21,1521.87,6.56403,0.34615,0.857697,0.355656,0.298557,-0.0812176,0.563828,0.109097,0.0779837,0.0314132,0.598599,0.152934,0.291431,0.992113,1,0.333333,0.047619,0,0.0952381,0.0952381,105,6.65383,0.140544,0.460383,0.211953,0.137591,-0.0417385,0.361802,0.130901,0.0667004,-0.0141946,4,4,3,0,1,0,0,0,1,0,650.799,818,451
32,2364.74,7.90294,0.779976,1.07638,0.930713,1.11425,-1.11791,0.495118,0.155647,0.0805,0.0158661,1.15453,0.813176,0.245051,0.951332,1,0.34375,0.21875,0.09375,0.09375,0.46875,45,8.29261,0.387824,0.628195,0.394629,0.283947,-0.257851,0.315668,0.0996463,0.0255743,-0.0161543,12,8,7,1,1.5,0.245549,0,0,1,0,1034.97,43,24
35,2133.57,8.19623,0.574137,0.93011,0.664867,0.665084,-0.606867,0.447758,0.134962,0.0708933,-0.00579399,0.451339,0.126057,0.144812,1,1,0.285714,0.114286,0,0.0285714,0,115,8.92741,0.145833,0.614895,0.378096,0.27661,-0.221721,0.491294,0.24137,0.142653,-0.0870074,0,0,0,0,0,0,0,0,1,0,623.314,107,63
