PMTBaryTheta,PMTAvgDist,PMTAvgT,PMTQtotal,PMTQtotalClustered,PMTHits,PMTFracQmax,PMTFracQdownstream,PMTFracClustered,PMTFracLowQ,PMTFracEarly,PMTFracLate,PMTRMSTheta,PMTVarTheta,PMTRMSThetaBary,PMTVarThetaBary,PMTRMSPhi,PMTVarPhi,PMTRMSPhiBary,PMTVarPhiBary,PMTFracLargeAnglePhi,PMTFracLargeAngleTheta,PMTHitsLargeAnglePhi,PMTHitsLargeAngleTheta,LAPPDBaryTheta,LAPPDAvgDist,LAPPDQtotal,LAPPDAvgT,LAPPDHits,LAPPDRMSTheta,LAPPDVarTheta,LAPPDRMSThetaBary,LAPPDVarThetaBary,MrdLayers,MrdPaddles,MrdConsLayers,MrdAdjHits,MrdPadPerLayer,MrdXSpread,MrdYSpread,MrdClusters
0.043714,1.41368,8.35017,2695.2,2471.6,53,0.0852163,0.986004,0.917037,0.45283,0.0188679,0.207547,1.06804,0.799569,1.0274,0.578309,2.68794,2.68307,0.851652,0.450496,0.264151,0.566038,14,30,0.0407689,1.35277,134,7.24176,134,0.505911,0.505911,0.473345,0.224055,0,0,0,0,0,0,0,0
2.00152,1.18134,3.22795,223.177,0,6,0.476262,0,0,0.5,0.833333,0,1.94446,1.99569,0.153542,0.0201789,4.37079,4.42029,0.812466,0.577115,0.5,0,3,0,0.781697,1.27111,1,8.0807,1,0.781697,0.781697,0,0,0,0,0,0,0,0,0,0
0.613694,1.34113,7.55929,474.513,0,20,0.0944789,0.977236,0,0.7,0,0.05,1.01641,0.984885,0.527797,0.246607,3.53576,3.63943,0.77563,0.412171,0.05,0.05,1,1,0.406955,1.41537,15,7.65969,15,0.526143,0.526143,0.23002,0.0529094,0,0,0,0,0,0,0,0
1.01994,1.39312,8.69136,2394.47,1709.19,51,0.0727024,0.839812,0.713806,0.470588,0.0784314,0.235294,1.23718,1.25597,0.513485,0.221711,3.23699,3.0093,1.10283,0.73873,0.431373,0.0784314,22,4,0.0338576,1.38001,59,10.1837,59,0.529809,0.529809,0.50067,0.250671,4,4,3,0,1,0,0,0
0.15262,1.35525,7.94062,2369.27,2310.84,29,0.259392,0.995336,0.975338,0.37931,0,0.172414,0.865705,0.576051,0.73329,0.196857,3.15369,3.24581,0.622787,0.124843,0.0344828,0.137931,1,4,0.0171484,1.3239,173,6.62966,173,0.456146,0.456146,0.443428,0.196629,0,0,0,0,0,0,0,0
1.50669,1.51317,9.00199,3985.43,0,53,0.0581751,0.525674,0,0.301887,0.0188679,0.283019,1.58973,1.56795,0.597415,0.178468,3.50196,3.23197,1.84969,2.56657,0.811321,0.169811,43,9,0.409742,1.42329,32,11.01,32,0.603004,0.603004,0.246088,0.0605594,0,0,0,0,0,0,0,0
0.654105,1.39344,8.86126,1432.24,967.389,40,0.0553355,0.963761,0.675438,0.5,0,0.2,1.08536,1.05522,0.540905,0.269567,2.93081,2.95041,0.466855,0.223166,0.025,0.075,1,3,0.271351,1.36279,59,10.2288,59,0.613975,0.613975,0.379608,0.144102,0,0,0,0,0,0,0,0
0.665225,1.35481,8.1785,1189.56,983.355,40,0.0652804,0.890215,0.826658,0.65,0.025,0.2,1.13861,1.12925,0.593681,0.326118,3.3308,3.32912,0.662568,0.445341,0.125,0.125,5,5,0.212168,1.37344,40,9.4943,40,0.655127,0.655127,0.456262,0.208175,0,0,0,0,0,0,0,0
2.07076,1.47143,6.54554,3334.69,0,27,0.209521,0.0417587,0,0.555556,0.222222,0.148148,1.91006,2.08739,0.587924,0.0924083,4.42421,5.05943,1.52349,0.682911,0.592593,0.111111,16,3,0.405021,1.27151,2,16.2217,2,0.603822,0.603822,0.38983,0.151967,0,0,0,0,0,0,0,0
0.535741,1.35964,5.59651,1251.45,1180.01,21,0.198776,1,0.942917,0.428571,0.238095,0,0.782518,0.667822,0.344652,0.0611641,3.39384,3.23863,0.690089,0.258791,0.190476,0,4,0,0.431686,1.32163,48,5.908,48,0.652507,0.652507,0.32001,0.102406,2,3,1,0,1.5,0,0,0
0.243605,1.38793,8.2527,3878.14,3496.9,39,0.190812,1,0.901694,0.358974,0,0.205128,0.933172,0.643231,0.711132,0.192105,3.05719,3.0613,0.506509,0.117392,0,0.230769,0,9,0.0603466,1.30287,344,6.90251,344,0.44407,0.44407,0.403905,0.163139,0,0,0,0,0,0,0,0
0.813443,1.39706,8.26377,3182.79,2815.15,50,0.0926793,0.933135,0.884493,0.46,0.02,0.26,1.28011,1.06317,0.651016,0.206686,3.55957,3.19822,1.24758,0.752813,0.46,0.22,23,11,0.441143,1.32408,95,8.0979,95,0.713396,0.713396,0.32166,0.103465,0,0,0,0,0,0,0,0
1.23654,1.46373,7.44509,2441.99,1715.51,39,0.134389,0.802006,0.702507,0.358974,0.025641,0.025641,1.30687,1.30914,0.496294,0.171901,2.75759,2.56308,0.852564,0.404477,0.230769,0.0769231,9,3,0.408073,1.36074,46,9.58525,46,0.630298,0.630298,0.299472,0.0896838,0,0,0,0,0,0,0,0
0.862616,1.43891,6.81892,1291.2,880.097,32,0.0731387,0.978983,0.681611,0.40625,0,0.0625,1.14095,1.03669,0.481914,0.183479,3.03118,2.7574,1.0393,0.562222,0.25,0.0625,8,2,0.330098,1.31886,69,6.20548,69,0.5716,0.5716,0.360459,0.129931,0,0,0,0,0,0,0,0
1.16214,1.40663,8.22778,2571.35,2114.36,55,0.0936684,0.698368,0.822278,0.472727,0.0363636,0.236364,1.34447,1.36334,0.553916,0.285124,2.94357,2.78604,1.02736,0.742682,0.436364,0.0545455,24,3,0.0904648,1.32732,42,9.94353,42,0.436044,0.436044,0.376656,0.14187,0,0,0,0,0,0,0,0
0.235311,1.32826,7.58533,1121.66,1047.23,32,0.132149,1,0.933642,0.46875,0,0.03125,0.826377,0.810601,0.611353,0.350558,3.06858,3.09427,0.532647,0.274639,0.03125,0.125,1,4,0.127138,1.32753,41,8.02548,41,0.709656,0.709656,0.589152,0.3471,3,4,2,0,1.33333,0,0,0
0.620748,1.38713,8.84163,4284.88,4015.01,52,0.216204,0.978646,0.937019,0.461538,0.0192308,0.326923,1.15033,0.933434,0.641187,0.18015,3.00035,3.12962,1.05581,0.589246,0.461538,0.115385,24,6,0.298034,1.35278,148,8.10801,148,0.62445,0.62445,0.376485,0.141741,0,0,0,0,0,0,0,0
0.399034,1.38129,8.35766,3291.96,2832.02,49,0.10795,0.975288,0.860286,0.469388,0,0.244898,1.12847,0.81512,0.779037,0.257309,2.50535,2.58206,0.749339,0.291733,0.22449,0.265306,11,13,0.193602,1.32435,148,7.33744,148,0.488981,0.488981,0.362713,0.131561,0,0,0,0,0,0,0,0
1.13484,1.42212,6.1059,2283.58,0,20,0.225563,0.983159,0,0.55,0.25,0.05,1.21967,1.17187,0.435858,0.0662292,2.98502,2.55786,1.04142,0.37086,0.5,0,10,0,0.613558,1.2776,40,6.23031,40,0.716446,0.716446,0.225624,0.0509062,0,0,0,0,0,0,0,0
0.792618,1.41964,9.30984,2060.83,1457.63,51,0.207503,0.922559,0.707303,0.529412,0,0.215686,1.2937,1.0953,0.651455,0.24317,3.31665,3.33718,0.674131,0.252766,0.117647,0.196078,6,10,0.232184,1.365,58,10.0714,58,0.655327,0.655327,0.436506,0.190538,0,0,0,0,0,0,0,0
1.11015,1.41643,8.81495,2331.27,1046.06,53,0.0658145,0.788948,0.448709,0.415094,0,0.132075,1.26993,1.27911,0.539426,0.248414,2.6914,2.61754,0.531781,0.208082,0.0377358,0.0377358,2,2,0.15358,1.36564,48,10.2202,48,0.487319,0.487319,0.372809,0.138987,0,0,0,0,0,0,0,0
0.240615,1.43346,9.90592,7361.75,6874.08,62,0.183586,0.984692,0.933756,0.516129,0,0.467742,1.25018,0.731169,1.03547,0.283556,4.03158,3.7972,1.08005,0.505392,0.403226,0.5,25,31,0.134485,1.36464,215,7.38106,215,0.551996,0.551996,0.439785,0.193411,0,0,0,0,0,0,0,0
