energy, evnum, distWallVert, distWallHor, distInnerStrVert,distInnerStrHor, pmt_fracRing, lappd_fracRing, nrings, multiplerings, pdg
560.681,3,0.977985,0.536847,1.61948,0.569154,0.538646,0.791045,1,0,11
351.595,4,1.0686,0.473015,1.60687,0.471875,0,0,1,0,11
108.387,7,0.934483,0.792069,1.53334,0.958113,0.340186,0.866667,1,0,11
519.833,11,0.923415,0.361956,1.51143,0.302622,0.183288,0.830508,1,0,11
606.382,23,1.22338,0.81441,1.30041,0.992161,0.779299,0.803468,1,0,11
779.176,29,0.912903,0.460342,1.49061,0.452562,0.0303368,0.8125,1,0,11
317.131,40,0.994907,0.409775,1.65298,0.375497,0.329932,0.644068,1,0,11
242.948,41,1.04032,0.407046,1.66286,0.371338,0.266427,0.55,1,0,11
812.353,44,0.752113,0.605631,1.17225,0.673981,0.00480274,0.5,1,0,11
471.561,48,0.855728,0.728018,1.37741,0.8605,0.579427,0.4375,1,0,11
878.971,57,1.17164,0.761139,1.40285,0.910976,0.707092,0.784884,1,0,11
607.48,59,1.16924,0.39829,1.4076,0.357993,0.305006,0.368421,1,0,11
740.903,63,1.23348,0.527865,1.28042,0.555466,0.136091,0.630435,1,0,11
227.756,74,1.05159,0.988368,1.64056,1.25727,0.345458,0.637681,1,0,11
426.073,79,0.980114,0.410945,1.62369,0.37728,0.191804,0.833333,1,0,11
387.443,90,0.98694,0.582873,1.63721,0.639299,0.329196,0.341463,1,0,11
682.937,99,0.911308,0.425034,1.48746,0.398752,0.323309,0.614865,1,0,11
610.956,100,1.13806,0.641471,1.46934,0.728601,0.579048,0.756757,1,0,11
669.988,102,0.829753,0.63239,1.32598,0.714762,0.072877,0.275,1,0,11
359.643,108,0.87582,0.353639,1.41719,0.289946,0.356766,0.551724,1,0,11
422.318,110,0.782773,0.349004,1.23296,0.282882,0.205429,0.833333,1,0,11
1064.24,112,1.03144,0.483514,1.68045,0.487875,0.660242,0.767442,1,0,11
899.353,115,1.03883,0.37806,1.66582,0.327164,0.264393,0.704225,1,0,11
350.307,124,1.11533,0.575811,1.51434,0.628537,0.425265,0.25,1,0,11
979.621,131,1.17884,0.386555,1.38859,0.340109,0.0695452,0.444444,1,0,11
546.138,137,1.11455,0.506219,1.51588,0.522478,0.0332402,0.291667,1,0,11
589.926,141,0.832273,0.675965,1.33097,0.78117,0.555945,0.816216,1,0,11
271.844,142,1.02704,0.510723,1.68916,0.529341,0.247347,0.444444,1,0,11
937.292,148,1.09459,0.910783,1.55542,1.13903,0.640922,0.977041,1,0,11
483.618,149,1.125,0.646201,1.4952,0.735811,0.832915,0.62,1,0,11
372.407,165,0.781538,0.602133,1.23051,0.66865,0.454584,0.672131,1,0,11
318.11,170,0.885865,0.578203,1.43708,0.632181,0.289278,0.521739,1,0,11
84.2509,171,0.981059,0.575373,1.62556,0.627868,0.183069,0.666667,1,0,11
402.44,180,0.854625,0.694296,1.37522,0.809107,0.557248,0.557971,1,0,11
404.342,183,1.05782,0.428517,1.62821,0.40406,0.782624,0.752809,1,0,11
316.626,190,1.14404,0.520568,1.45749,0.544346,0.204527,0.717949,1,0,11
476.198,5,0.95967,0.766615,1.58321,0.919321,0.804143,0.761364,1,0,11
440.475,7,0.768667,0.504298,1.20503,0.51955,0.209187,0.644444,1,0,11
1046.89,14,1.01007,0.386954,1.72275,0.340717,0.219465,0.489362,1,0,11
933.295,15,0.957897,0.792266,1.5797,0.958414,0.00292568,0.8,1,0,11
329.681,35,1.21524,0.349956,1.31652,0.284334,0.124715,0.166667,1,0,11
670.826,45,0.8323,0.648286,1.33102,0.738987,0.0165603,0.90625,1,0,11
941.17,51,0.973795,0.479881,1.61118,0.482339,0.38517,0.661111,1,0,11
1020.46,56,0.917891,0.754543,1.50049,0.900923,0.338581,0.55,1,0,11
914.932,58,0.915548,0.733245,1.49585,0.868465,0.318454,0.81295,1,0,11
499.199,65,1.14677,0.635511,1.45209,0.719519,0.590293,0.654321,1,0,11
168.253,69,0.970312,0.349206,1.60428,0.283189,0.106468,0.388889,1,0,11
1315.27,77,0.798166,0.482055,1.26343,0.485651,0.544438,0.717224,1,0,11
625.323,80,0.768151,0.407239,1.20401,0.371633,0.265419,0.5625,1,0,11
628.679,82,1.23621,0.472409,1.27501,0.470951,0.0254999,0.75,1,0,11
626.675,87,0.789632,0.583138,1.24654,0.639702,0.330244,0.492857,1,0,11
842.321,88,1.22947,0.656558,1.28834,0.751594,0.347764,0.590909,1,0,11
360.815,91,1.16537,0.517839,1.41527,0.540186,0.0813461,0.272727,1,0,11
935.891,93,0.959243,0.417648,1.58237,0.387495,0.129732,0.688525,1,0,11
468.541,97,0.894367,0.418693,1.45391,0.389087,0.248593,0.5625,1,0,11
224.258,99,1.2341,0.495824,1.27918,0.506635,0.327286,0.815789,1,0,11
690.299,102,0.833898,0.808248,1.33418,0.98277,0.679277,0.621429,1,0,11
316.397,103,1.23503,0.399451,1.27733,0.359763,0.29034,0.622642,1,0,11
377.537,104,0.994055,0.482394,1.65129,0.486168,0.326779,0.528302,1,0,11
395.803,110,0.919197,0.797378,1.50308,0.966204,0.643539,0.706767,1,0,11
770.65,113,1.16548,0.434315,1.41504,0.412897,0.489816,0.442748,1,0,11
1222.73,119,0.820779,0.577814,1.30821,0.631589,0.208036,0.520325,1,0,11
976.877,120,1.17152,0.662225,1.40308,0.760231,0.422197,0.604651,1,0,11
1065.52,123,1.21512,0.620411,1.31675,0.696507,0.589844,0.642857,1,0,11
908.134,136,1.0482,0.75848,1.64727,0.906923,0.158549,0.983193,1,0,11
532.176,141,1.15193,0.362802,1.44188,0.303911,0.238055,0.54902,1,0,11
626.794,159,0.982682,0.496808,1.62878,0.508136,0.72777,0.294964,1,0,11
169.358,178,0.985113,0.416257,1.63359,0.385376,0.118754,0.125,1,0,11
961.732,190,0.930943,0.422642,1.52633,0.395107,0.150542,0.433333,1,0,11
475.214,198,1.18243,0.479959,1.38149,0.482457,0.395333,0.32381,1,0,11
776.614,201,1.14896,0.568293,1.44776,0.617079,0.375235,0.12532,1,0,11
1119.21,204,1.00886,0.492658,1.72515,0.501811,0.527088,0.515873,1,0,11
801.324,0,0.998644,0.679241,1.66038,0.786163,0.242048,0.470588,1,0,11
186.661,3,0.79879,0.371816,1.26467,0.317647,0.272661,0.208333,1,0,11
562.224,7,1.034,0.809542,1.67538,0.984742,0.779377,0.485149,1,0,11
892.419,10,0.985654,0.437666,1.63466,0.418003,0.360312,0.64,1,0,11
318.813,13,0.984687,0.346977,1.63275,0.279793,0.265901,0.628571,1,0,11
822.013,14,0.951782,0.421441,1.56759,0.393276,0.476612,0.714286,1,0,11
652.097,19,0.971415,0.466526,1.60647,0.461985,0.0160829,0.777778,1,0,11
829.936,31,1.07122,0.378415,1.60169,0.327704,0.506362,0.54717,1,0,11
168.79,39,0.850052,0.609359,1.36617,0.679662,0.0320451,0.333333,1,0,11
525.593,41,0.961154,0.582558,1.58615,0.638819,0.307707,0.393939,1,0,11
370.014,44,0.832059,0.638308,1.33054,0.723781,0.391103,0.616279,1,0,11
204.067,51,0.85057,0.4131,1.36719,0.380565,0.198923,0.774194,1,0,11
1042.68,54,1.13274,0.592471,1.47988,0.653925,0.387762,0.802575,1,0,11
994.48,55,0.845712,0.565616,1.35758,0.612998,0.247618,0.575949,1,0,11
724.391,57,1.24256,0.560042,1.26242,0.604503,0.27817,0.558621,1,0,11
461.031,69,1.03973,0.406753,1.66403,0.370891,0.227131,0.505882,1,0,11
887.994,79,1.23186,0.361441,1.28361,0.301836,0.390476,0.424242,1,0,11
422.929,81,0.82281,0.836342,1.31223,1.02558,0.557983,0.95082,1,0,11
766.81,82,0.810167,0.373839,1.2872,0.320731,0.352045,0.619632,1,0,11
612.806,91,0.774295,0.854956,1.21617,1.05395,0.655467,0.754717,1,0,11
335.226,95,1.22214,0.389289,1.30287,0.344276,0.143816,0.470588,1,0,11
686.656,100,1.2144,0.809964,1.31819,0.985385,0.649747,0.821101,1,0,11
547.736,104,1.08873,0.519945,1.56702,0.543397,0.373163,0.361963,1,0,11
