pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
125,2979.38,11.7612,0.0651726,1.65593,0.918826,1.31031,-0.282408,1.59586,0.815477,1.1409,-0.0637554,1.56615,0.717056,0.0770882,0.92502,1,0.768,0.576,0.016,0.808,0.608,134,7.24176,0.0407689,0.505911,0.255946,0.173442,-0.0742039,0.473345,0.224055,0.144123,-0.054122,0,0,0,0,0,0,0,0,1,0,560.681,3,3
38,289.445,9.12876,2.00943,1.78468,3.78879,7.6162,-27.5065,0.584732,0.104242,-0.061136,0.0406064,1.99848,1.45858,0.367223,0.122338,1,0.921053,0.473684,0.184211,0.131579,0.736842,1,8.0807,0.781697,0.781697,0.61105,0.477656,-0.746765,0,0,0,0,0,0,0,0,0,0,0,0,1,0,351.595,4,4
67,617.009,10.0364,0.620947,1.41114,1.19987,1.67238,-1.72826,0.881967,0.358992,0.340139,0.0290389,1.18611,0.590085,0.0726593,0.906872,1,0.910448,0.373134,0,0.343284,0.373134,15,7.65969,0.406955,0.526143,0.276827,0.166692,-0.12718,0.23002,0.0529094,-0.00089097,-0.00354277,0,0,0,0,0,0,0,0,1,0,108.387,7,7
108,2660.37,10.8302,1.01287,1.56551,1.71438,2.66242,-4.34124,0.743418,0.271087,0.165442,0.0077688,1.47239,0.936331,0.065436,0.802439,1,0.75,0.509259,0.0555556,0.231481,0.611111,59,10.1837,0.0338576,0.529809,0.280698,0.181289,-0.115386,0.50067,0.250671,0.154322,-0.0902115,4,4,3,0,1,0,0,0,1,0,519.833,11,11
105,2646.61,12.3926,0.163639,1.58448,0.603745,0.840008,0.424649,1.43581,0.422263,0.590356,0.519987,1.48429,0.375346,0.23221,0.948502,1,0.828571,0.647619,0,0.733333,0.466667,173,6.62966,0.0171484,0.456146,0.208069,0.142687,-0.0284251,0.443428,0.196629,0.13228,-0.0239623,0,0,0,0,0,0,0,0,1,0,606.382,23,23
117,4264.54,13.5539,1.51308,1.67481,2.50941,4.39366,-10.8086,0.621783,0.192373,-0.00633047,-0.000377417,2.03149,2.74793,0.0543675,0.520778,1,0.683761,0.641026,0.00854701,0.205128,0.846154,32,11.01,0.409742,0.603004,0.363614,0.24004,-0.232731,0.246088,0.0605594,0.0137333,-0.00417215,0,0,0,0,0,0,0,0,1,0,779.176,29,29
111,1730.1,11.5285,0.649513,1.59675,1.44583,2.21697,-2.4476,1.02959,0.453598,0.503417,0.0911831,1.0742,0.435373,0.0458086,0.87327,1,0.81982,0.495495,0,0.432432,0.351351,59,10.2288,0.271351,0.613975,0.376965,0.264189,-0.235339,0.379608,0.144102,0.0620905,-0.031254,0,0,0,0,0,0,0,0,1,0,317.131,40,40
107,1458.84,10.8769,0.672508,1.58558,1.56221,2.44173,-3.07511,1.00169,0.476597,0.537133,0.0493332,1.30238,0.723295,0.0532304,0.816325,1,0.869159,0.46729,0.00934579,0.411215,0.448598,40,9.4943,0.212168,0.655127,0.429192,0.303601,-0.332732,0.456262,0.208175,0.105533,-0.0737862,0,0,0,0,0,0,0,0,1,0,242.948,41,41
96,3625.54,11.6747,2.05396,1.6792,4.19182,8.93622,-33.3261,0.773886,0.149106,-0.105338,0.0999328,2.13014,1.05696,0.192713,0.0911868,1,0.875,0.59375,0.0625,0.25,0.833333,2,16.2217,0.405021,0.603822,0.364601,0.307528,-0.137539,0.38983,0.151967,0.0269161,-0.0440527,0,0,0,0,0,0,0,0,1,0,812.353,44,44
79,1431.7,10.6173,0.524697,1.53777,0.692456,0.868016,-0.0352572,1.08596,0.20091,0.237122,0.257733,1.68365,0.593832,0.17375,0.958535,1,0.848101,0.481013,0.0759494,0.417722,0.620253,48,5.908,0.431686,0.652507,0.425765,0.319508,-0.29927,0.32001,0.102406,0.0177246,-0.0178015,3,2,1,0,1.5,0,0,0,1,0,471.561,48,48
116,4196.06,12.5864,0.2268,1.62951,0.641035,0.860216,0.249141,1.42342,0.389639,0.515414,0.415408,1.44572,0.325353,0.176355,0.953735,1,0.784483,0.655172,0,0.706897,0.465517,344,6.90251,0.0603466,0.44407,0.197198,0.142363,-0.0101749,0.403905,0.163139,0.109855,-0.00367418,0,0,0,0,0,0,0,0,1,0,878.971,57,57
122,3531.04,11.7454,0.813437,1.63471,1.32585,1.95108,-2.02847,0.93365,0.287881,0.251205,0.100452,1.65696,0.99364,0.0835387,0.889931,1,0.778689,0.565574,0.0163934,0.401639,0.647541,95,8.0979,0.441143,0.713396,0.508934,0.390805,-0.472048,0.32166,0.103465,0.0284962,-0.0181561,0,0,0,0,0,0,0,0,1,0,607.48,59,59
113,2765.59,12.2538,1.23722,1.63249,1.86398,2.93403,-5.47376,0.6719,0.210925,0.0302678,0.0114847,1.54204,0.699503,0.118664,0.765788,1,0.778761,0.539823,0.00884956,0.176991,0.539823,46,9.58525,0.408073,0.630298,0.397276,0.285132,-0.262638,0.299472,0.0896838,0.0210367,-0.0119414,0,0,0,0,0,0,0,0,1,0,740.903,63,63
35,100.107,8.79463,1.08927,1.65211,2.59693,5.43461,-7.89411,0.839228,0.668938,0.744714,-0.178706,1.20098,1.20569,0.0875843,0.622417,1,1,0.314286,0.0571429,0.285714,0.428571,2,9.02066,0.582454,0.583042,0.339938,0.198824,-0.230142,0.0267853,0.000717454,-5.91413e-08,-1.02948e-06,0,0,0,0,0,0,0,0,1,0,20.8439,73,73
78,1432.79,9.56815,0.907586,1.56177,1.26426,1.8068,-1.9208,0.826616,0.245311,0.125497,0.0255988,1.63719,0.854673,0.0659109,0.917124,1,0.75641,0.307692,0,0.307692,0.576923,69,6.20548,0.330098,0.5716,0.326726,0.24485,-0.132389,0.360459,0.129931,0.0367223,-0.0272346,0,0,0,0,0,0,0,0,1,0,227.756,74,74
117,2849.29,11.5078,1.15534,1.66085,1.9956,3.38918,-5.75267,0.74775,0.325054,0.138557,-0.0440214,1.66818,1.04166,0.0845313,0.676289,1,0.752137,0.529915,0.017094,0.222222,0.65812,42,9.94353,0.0904648,0.436044,0.190134,0.132486,-0.0116731,0.376656,0.14187,0.0878042,-0.00306306,0,0,0,0,0,0,0,0,1,0,426.073,79,79
105,1407.46,10.7451,0.209559,1.52359,1.07644,1.51221,-0.948118,1.33265,0.728807,0.949352,-0.0818167,1.30695,0.620348,0.105315,0.917914,1,0.838095,0.390476,0.00952381,0.695238,0.495238,41,8.02548,0.127138,0.709656,0.503611,0.381847,-0.466979,0.589152,0.3471,0.220638,-0.218211,4,3,2,0,1.33333,0,0,0,1,0,387.443,90,90
119,4547.7,12.0365,0.630518,1.59386,1.01999,1.32726,-1.10352,1.03485,0.255915,0.24587,0.141123,1.61295,0.76896,0.203709,0.942285,1,0.764706,0.621849,0.00840336,0.462185,0.655462,148,8.10801,0.298034,0.62445,0.389938,0.281214,-0.247787,0.376485,0.141741,0.0567623,-0.0313139,0,0,0,0,0,0,0,0,1,0,682.937,99,99
119,3601.16,11.9347,0.385588,1.62334,0.90444,1.30021,-0.246797,1.27506,0.434085,0.554695,0.281422,1.48734,0.535679,0.0986809,0.92393,1,0.781513,0.621849,0.00840336,0.647059,0.554622,148,7.33744,0.193602,0.488981,0.239103,0.169508,-0.046524,0.362713,0.131561,0.0654943,-0.0139011,0,0,0,0,0,0,0,0,1,0,610.956,100,100
104,2592.49,11.237,1.13425,1.63329,1.53579,2.14999,-3.78712,0.735717,0.125676,0.0528357,0.0584764,1.97312,0.855628,0.198686,0.926174,1,0.913462,0.596154,0.0480769,0.211538,0.798077,40,6.23031,0.613558,0.716446,0.513295,0.39035,-0.491918,0.225624,0.0509062,-0.0134179,0.00225285,0,0,0,0,0,0,0,0,1,0,669.988,102,102
112,2333.84,12.0371,0.792586,1.61684,1.4249,2.22338,-2.14391,0.940115,0.348769,0.363649,0.157328,1.00041,0.363849,0.183229,0.868708,1,0.785714,0.5,0,0.383929,0.339286,58,10.0714,0.232184,0.655327,0.429454,0.30288,-0.333832,0.436506,0.190538,0.0932105,-0.0605058,0,0,0,0,0,0,0,0,1,0,359.643,108,108
108,2558.4,11.7074,1.12666,1.60953,1.80255,2.92904,-4.56904,0.720202,0.287553,0.111861,0.00141355,0.947565,0.316467,0.0599716,0.754602,1,0.712963,0.416667,0,0.203704,0.268519,48,10.2202,0.15358,0.487319,0.23748,0.154991,-0.063809,0.372809,0.138987,0.0700757,-0.0193789,0,0,0,0,0,0,0,0,1,0,422.318,110,110
128,7742.54,12.4991,0.251799,1.64422,0.684551,0.902491,0.0883868,1.41375,0.394949,0.502749,0.33695,1.66452,0.678612,0.174557,0.949982,1,0.765625,0.695312,0,0.71875,0.632812,215,7.38106,0.134485,0.551996,0.304699,0.206718,-0.13262,0.439785,0.193411,0.107452,-0.0488088,0,0,0,0,0,0,0,0,1,0,1064.24,112,112
