pmtHits,pmtTotalQ,pmtAvgT,pmtBaryAngle,pmtRmsAngle,pmtVarAngle,pmtSkewAngle,pmtKurtAngle,pmtRmsBary,pmtVarBary,pmtSkewBary,pmtKurtBary,pmtRmsPhi,pmtVarPhi,pmtFracHighestQ,pmtFracDownstream,pmtFracClustered,pmtFracLowQ,pmtFracLateT,pmtFracEarlyT,pmtLargeAngleAngle,pmtLargeAnglePhi,lappdHits,lappdAvgT,lappdBaryAngle,lappdRmsAngle,lappdVarAngle,lappdSkewAngle,lappdKurtAngle,lappdRMSBary,lappdVarBary,lappdSkewBary,lappdKurtBary,mrdPaddles,mrdLayers,mrdConslayers,mrdClusters,mrdPaddlesPerLayer,mrdXSpread,mrdYSpread,mrdAdjacentHits,nrings,multiplerings,energy,evnum,mcevnum
53,2695.2,8.35017,0.043714,1.06804,0.63931,0.671086,-0.425827,1.0274,0.578309,0.591288,-0.313249,0.851652,0.450496,0.0852163,0.986004,1,0.45283,0.207547,0.0188679,0.566038,0.264151,134,7.24176,0.0407689,0.505911,0.255946,0.173442,-0.0742039,0.473345,0.224055,0.144123,-0.054122,0,0,0,0,0,0,0,0,1,0,560.681,3,3
6,223.177,3.22795,2.00152,1.94446,3.98276,8.00666,-31.4187,0.153542,0.0201789,-0.00216696,-0.000610285,0.812466,0.577115,0.476262,0,1,0.5,0,0.833333,0,0.5,1,8.0807,0.781697,0.781697,0.61105,0.477656,-0.746765,0,0,0,0,0,0,0,0,0,0,0,0,1,0,351.595,4,4
20,474.513,7.55929,0.613694,1.01641,0.969999,1.181,-1.25198,0.527797,0.246607,0.176624,-0.00561556,0.77563,0.412171,0.0944789,0.977236,1,0.7,0.05,0,0.05,0.05,15,7.65969,0.406955,0.526143,0.276827,0.166692,-0.12718,0.23002,0.0529094,-0.00089097,-0.00354277,0,0,0,0,0,0,0,0,1,0,108.387,7,7
51,2394.47,8.69136,1.01994,1.23718,1.57746,2.30541,-3.884,0.513485,0.221711,0.0833499,-0.0287657,1.10283,0.73873,0.0727024,0.839812,1,0.470588,0.235294,0.0784314,0.0784314,0.431373,59,10.1837,0.0338576,0.529809,0.280698,0.181289,-0.115386,0.50067,0.250671,0.154322,-0.0902115,4,4,3,0,1,0,0,0,1,0,519.833,11,11
29,2369.27,7.94062,0.15262,0.865705,0.331835,0.277583,-0.00476102,0.73329,0.196857,0.158327,0.0794108,0.622787,0.124843,0.259392,0.995336,1,0.37931,0.172414,0,0.137931,0.0344828,173,6.62966,0.0171484,0.456146,0.208069,0.142687,-0.0284251,0.443428,0.196629,0.13228,-0.0239623,0,0,0,0,0,0,0,0,1,0,606.382,23,23
53,3985.43,9.00199,1.50669,1.58973,2.45847,4.23024,-10.5283,0.597415,0.178468,-0.0191462,-0.00541457,1.84969,2.56657,0.0581751,0.525674,1,0.301887,0.283019,0.0188679,0.169811,0.811321,32,11.01,0.409742,0.603004,0.363614,0.24004,-0.232731,0.246088,0.0605594,0.0137333,-0.00417215,0,0,0,0,0,0,0,0,1,0,779.176,29,29
40,1432.24,8.86126,0.654105,1.08536,1.11349,1.40442,-1.84195,0.540905,0.269567,0.187356,-0.061668,0.466855,0.223166,0.0553355,0.963761,1,0.5,0.2,0,0.075,0.025,59,10.2288,0.271351,0.613975,0.376965,0.264189,-0.235339,0.379608,0.144102,0.0620905,-0.031254,0,0,0,0,0,0,0,0,1,0,317.131,40,40
40,1189.56,8.1785,0.665225,1.13861,1.2752,1.73461,-2.31793,0.593681,0.326118,0.283939,-0.0241417,0.662568,0.445341,0.0652804,0.890215,1,0.65,0.2,0.025,0.125,0.125,40,9.4943,0.212168,0.655127,0.429192,0.303601,-0.332732,0.456262,0.208175,0.105533,-0.0737862,0,0,0,0,0,0,0,0,1,0,242.948,41,41
27,3334.69,6.54554,2.07076,1.91006,4.35721,9.34389,-36.6303,0.587924,0.0924083,-0.0375005,0.0451283,1.52349,0.682911,0.209521,0.0417587,1,0.555556,0.148148,0.222222,0.111111,0.592593,2,16.2217,0.405021,0.603822,0.364601,0.307528,-0.137539,0.38983,0.151967,0.0269161,-0.0440527,0,0,0,0,0,0,0,0,1,0,812.353,44,44
21,1251.45,5.59651,0.535741,0.782518,0.445986,0.351338,-0.295932,0.344652,0.0611641,0.0206695,0.00140769,0.690089,0.258791,0.198776,1,1,0.428571,0,0.238095,0,0.190476,48,5.908,0.431686,0.652507,0.425765,0.319508,-0.29927,0.32001,0.102406,0.0177246,-0.0178015,3,2,1,0,1.5,0,0,0,1,0,471.561,48,48
39,3878.14,8.2527,0.243605,0.933172,0.413746,0.354654,-0.167043,0.711132,0.192105,0.1405,0.00770895,0.506509,0.117392,0.190812,1,1,0.358974,0.205128,0,0.230769,0,344,6.90251,0.0603466,0.44407,0.197198,0.142363,-0.0101749,0.403905,0.163139,0.109855,-0.00367418,0,0,0,0,0,0,0,0,1,0,878.971,57,57
50,3182.79,8.26377,0.813443,1.28011,1.13033,1.48557,-1.67745,0.651016,0.206686,0.123322,0.0209899,1.24758,0.752813,0.0926793,0.933135,1,0.46,0.26,0.02,0.22,0.46,95,8.0979,0.441143,0.713396,0.508934,0.390805,-0.472048,0.32166,0.103465,0.0284962,-0.0181561,0,0,0,0,0,0,0,0,1,0,607.48,59,59
39,2441.99,7.44509,1.23654,1.30687,1.71386,2.52372,-4.92035,0.496294,0.171901,-0.0286454,-0.00990937,0.852564,0.404477,0.134389,0.802006,1,0.358974,0.025641,0.025641,0.0769231,0.230769,46,9.58525,0.408073,0.630298,0.397276,0.285132,-0.262638,0.299472,0.0896838,0.0210367,-0.0119414,0,0,0,0,0,0,0,0,1,0,740.903,63,63
32,1291.2,6.81892,0.862616,1.14095,1.07473,1.35458,-1.63481,0.481914,0.183479,0.0474908,-0.0263565,1.0393,0.562222,0.0731387,0.978983,1,0.40625,0.0625,0,0.0625,0.25,69,6.20548,0.330098,0.5716,0.326726,0.24485,-0.132389,0.360459,0.129931,0.0367223,-0.0272346,0,0,0,0,0,0,0,0,1,0,227.756,74,74
55,2571.35,8.22778,1.16214,1.34447,1.85868,3.00927,-5.19049,0.553916,0.285124,0.0569361,-0.0717773,1.02736,0.742682,0.0936684,0.698368,1,0.472727,0.236364,0.0363636,0.0545455,0.436364,42,9.94353,0.0904648,0.436044,0.190134,0.132486,-0.0116731,0.376656,0.14187,0.0878042,-0.00306306,0,0,0,0,0,0,0,0,1,0,426.073,79,79
