LikelihoodQ,LikelihoodT,LikelihoodTheta,LikelihoodPhi
-1.27792,-1.39276,-6.72759,-0.785254
-0.0739155,0.650555,0.101186,0.22718
-0.692252,-0.895722,-0.608601,-0.34404
-0.817069,-0.420078,-0.20552,-1.69367
-0.597476,-1.26678,-0.228562,-0.267984
0.0965818,-1.45124,-1.4122,-3.96922
-0.0434928,-0.27178,-0.199211,-0.193134
-1.5033,-0.104668,-1.20617,-0.292904
-2.23488,-0.715274,-0.553577,-1.22246
0.274803,0.184116,0.122663,0.184477
-0.577186,-0.647799,-0.910673,0.0210914
-1.1809,-0.838217,-1.311,-2.31515
0.542398,0.0411092,-0.377279,-1.15919
-0.147094,0.0693163,-0.331127,-1.07198
0.115987,-0.402033,-0.417307,-1.3471
0.312078,-0.0153032,-0.296801,0.107484
-1.38916,-1.39083,-1.48691,-1.27581
-0.913106,-0.235336,-2.25547,-0.972098
-1.81436,0.208302,0.0457798,0.00636273
-0.141773,-0.381875,-2.06031,-2.12513
0.906128,-0.30737,-0.655686,-1.57562
-3.92443,-2.21716,-4.96518,-2.03994
-2.08535,-1.16424,-0.750179,-1.02668
0.681228,0.0813002,0.0937439,0.121611
-1.18648,0.208119,0.0270849,-1.18216
0.736166,-0.105878,-0.422812,-0.338387
-0.552497,-1.29812,-1.94106,-0.658286
0.256185,-0.39959,-0.698815,-1.73724
-1.71072,-0.9581,-1.88347,-0.853013
-0.504755,-0.578862,-1.04519,-0.260828
1.31984,0.0438852,0.110707,0.127301
1.51424,0.0694634,0.113125,-0.605822
-4.0345,0.0473661,0.0933884,-0.243673
-1.35852,-0.608631,-3.18671,-1.00918
-3.01301,-0.596442,-1.63381,-0.874456
0.131915,0.0153576,-0.177229,-0.583916
-0.621309,-1.46363,-2.66796,-1.31154
-0.700094,-0.529836,-1.66088,-1.92654
-1.00153,-1.13826,-0.758758,-2.28001
-1.93851,-0.494025,-0.190049,-3.9155
0.308437,0.329246,-0.00880264,0.189332
-1.48569,-0.264794,-0.6563,-1.7589
-1.34179,-1.65495,-4.03646,-2.38243
-1.00298,-1.22493,-3.19913,-0.647316
-0.261972,-0.211292,-0.516006,-1.03559
0.718657,-0.225865,-0.136922,0.148117
-2.60169,-0.255509,-0.560061,-1.14753
-3.56543,-2.65684,-7.10127,-3.26111
-0.121656,-0.515436,-1.38536,-2.60887
1.29198,-0.246553,-5.78751,-6.91107
-0.897298,-0.061248,-1.00616,-1.08558
-0.939318,-0.273523,-0.16606,-0.649888
-0.355182,0.250898,0.11746,-0.77893
-0.792831,-0.526685,-0.482321,-1.18728
-0.564522,0.0151433,0.0822491,-1.30765
-0.435092,-0.0492082,-0.186688,-0.272422
-0.840988,0.0494397,-0.338362,0.236065
0.605989,0.150457,0.113572,0.0309629
0.56621,-0.460151,-0.552391,-0.479355
0.0924724,-0.353461,-1.98083,-0.312401
-1.83444,-0.507144,-0.0473469,-0.55668
-3.16172,-1.88824,-4.34094,-2.8405
0.593701,-0.574261,0.098532,0.24194
-2.48452,-3.1187,-2.58887,-1.59663
-0.783537,-1.65659,-0.640838,-2.70963
0.0294852,-1.18816,-0.104898,-0.675546
0.0247762,0.0269564,-0.0110967,0.178532
0.444495,0.42896,0.101204,0.151574
-2.6171,-1.85485,-1.2457,-1.5256
0.0186673,-0.426967,-0.559214,-0.8819
-1.48036,-1.08812,-0.441493,-0.49694
-1.65777,-0.881684,-1.53971,-0.870211
-0.294463,-0.00876287,0.0220734,-1.4119
-1.2715,0.236715,0.112488,-0.0342817
-1.04867,-0.527247,0.0114198,-0.0386022
-1.66987,-2.17281,-1.89927,-1.88693
-0.651633,-0.227942,-0.116334,-3.09422
-1.67403,-1.39382,-2.78769,-2.25968
-0.570186,-0.0283472,-1.81906,-5.12539
0.219448,-0.644755,-0.0575739,-0.961413
-1.78125,0.156631,-2.23449,-8.69359
-1.28922,0.167225,0.137798,-0.181909
-0.315501,-0.559627,-1.02007,-0.401469
-2.59973,-0.0334736,-0.454502,-1.54078
-3.74635,-1.85214,-4.69924,-2.82965
-0.235922,-1.62531,-0.622208,-1.87873
-1.50822,-0.948109,-0.912315,-0.833346
0.21323,-0.515132,-3.32048,-0.581138
0.352031,-0.548967,-0.671941,-0.792824
0.325601,0.132437,0.123743,0.129652
-1.57912,-1.65762,-3.78038,-2.62052
0.253209,0.0634886,-0.0416046,0.207113
-0.853408,-1.03158,0.0240115,-1.7296
-4.10485,-1.42827,-1.10798,-0.557219
0.510124,-0.240373,-3.93315,-0.990813
-1.45681,-2.12243,-3.91034,-2.72625
0.153091,-0.240289,0.0578224,-0.178015
0.0628748,-0.278419,-1.63522,-0.64734
0.140621,0.126851,0.117047,0.230849
-0.8654,-0.117014,0.0828788,-1.6337
0.203507,-1.78749,-2.89548,-0.986946
1.57514,-0.0340595,-2.34751,-5.22848
-0.46339,-1.72035,-0.240486,-0.910518
-0.220889,-0.514179,-0.429962,-0.742814
0.399903,0.0542622,0.166808,-0.0592252
-0.255412,-0.971873,-0.321796,-1.16537
-2.47666,-1.44735,-3.58208,-3.03709
-1.07875,-1.34168,-0.592095,-1.72077
-1.66741,-0.623732,-3.04628,-0.705189
1.01089,0.153184,0.0930061,0.266484
0.224281,-0.483834,-0.473017,-0.795004
0.94428,-0.0325931,-1.34621,-0.291266
0.474203,-1.15893,0.0602638,-1.0336
-1.23223,-0.221631,-0.0829612,-0.707928
-1.98316,-1.21623,-1.95709,-0.950944
0.7676,0.0229391,0.110134,-0.258599
-3.37676,-2.79763,-2.1249,-1.48856
-0.468108,-1.36184,-1.85157,-1.48395
-0.32499,0.0663374,0.155246,-0.102128
1.61518,-0.978457,-0.991919,-1.10177
-0.269917,0.493251,0.0713342,-1.03813
0.213834,0.0439274,0.0859109,-0.896071
0.364689,-0.531693,-1.01015,-0.602129
-4.16501,-4.03377,-8.61253,-3.29504
-1.15468,-0.882414,-4.75143,-3.17169
0.210388,-0.716273,-0.518818,-2.16403
-1.5853,-0.552674,-2.15739,-0.880072
-0.316896,-1.7887,-0.774848,-1.23326
0.327435,0.0470257,0.050714,0.0384583
-1.67231,-0.225421,-0.425585,-0.243034
-1.49371,0.0662745,-0.239687,-2.11244
-0.753357,-0.730511,-0.86366,-1.33137
-1.67758,-1.38741,-0.252561,-1.34597
-1.24896,-0.712556,-0.662543,-0.375802
-1.83657,-2.59432,-4.45703,-3.51036
0.411789,-0.196491,-0.111438,-1.39735
0.470465,-0.479094,-0.330479,-0.470654
-0.411249,0.122302,-0.101189,-0.172945
-0.573448,-0.893867,-1.82783,-1.18861
-2.90536,-3.19993,-5.47821,-2.41771
0.471704,0.122228,-0.00823719,0.265208
0.762098,0.123441,0.0861764,-0.0247365
0.0520519,-0.435839,-0.390031,-3.92103
-1.45185,-0.0374143,-1.65589,-1.13328
0.665454,-1.26884,-0.141728,-0.497765
-0.943795,0.188511,0.0989951,-1.59598
-0.107661,0.568239,-0.126994,0.156376
-0.32726,-0.367687,-0.46865,-1.34049
0.703805,0.14383,0.0444105,0.109967
-4.4309,-2.10924,-5.38005,-4.54481
-0.873953,0.0477986,0.0246809,-0.189952
-0.743781,-0.80826,-0.0799984,-1.48697
-0.871869,-1.1371,-1.76744,-0.925607
-0.123343,-0.393202,-1.18139,-0.387155
-0.442642,-0.0119412,0.0955969,-0.569125
-0.740324,-0.0154001,-0.182625,-0.310326
-0.444513,-0.553348,-0.482083,-0.961181
-0.929726,-1.93747,-6.55717,-1.35854
0.184202,-0.055172,-0.277846,-1.85079
-0.489132,-0.813031,-0.111967,-0.801027
0.799427,-0.282899,-0.291763,-0.540713
0.704289,-0.86449,-2.08035,-0.69874
0.0528765,-0.536686,-0.319218,-1.22887
-0.512978,0.175583,0.104145,-0.0112826
0.111782,0.480478,0.112862,0.221559
0.390046,-0.678964,-0.0353481,-0.137591
0.488093,0.188881,0.122706,-0.950484
0.109574,1.59831,0.111699,0.137168
-0.4382,0.104245,0.126835,0.0981702
0.0992208,0.151619,0.131042,0.0769666
0.855508,0.026514,0.113398,0.0296432
-0.72887,-0.208769,0.0688759,-0.678534
-1.46396,-1.08227,-1.92057,-3.43188
0.612004,0.317573,0.102337,0.164788
-0.116593,0.0344758,-0.000555584,-0.215486
-0.693174,-0.950546,-2.48541,-0.850966
-4.33558,-1.29414,-2.42542,-0.733818
-0.549032,-0.549816,-1.04125,-0.537038
-0.122377,-0.33528,-0.346679,-0.457603
0.862595,0.00445207,0.0345577,0.199279
-0.421507,-0.457082,-0.337085,-1.05539
