LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
-0.733191,-0.612449,-5.12124,-0.26127
-0.0923433,0.0900757,0.126358,0.308631
-0.567737,-0.162892,-0.437016,0.012128
-0.482432,-0.247815,-0.0722715,-0.809011
-0.305382,-0.692614,-0.24185,0.145252
0.612272,-0.801821,-0.392079,-1.86749
-0.103386,-0.155837,-0.132957,0.0796186
-0.986952,-0.059867,-0.786678,0.0217545
-1.34085,-0.4658,-0.0756225,-0.577924
0.0225049,0.0418917,0.151497,0.254793
-0.257888,-0.364154,-0.769334,0.159888
-0.816487,-0.503974,-0.878634,-1.00941
0.406065,0.0182303,-0.00419405,-0.459814
-0.0495968,0.0216497,-0.224114,-0.367905
-0.189551,-0.224927,-0.160378,-0.589648
-0.102203,-0.0163086,-0.301435,0.302435
-0.773192,-0.762233,-0.798636,-0.501854
-0.348801,-0.14206,-1.50633,-0.406021
-1.00612,0.0198158,0.082081,0.115765
-0.329346,-0.19238,-1.29494,-0.898807
0.296209,-0.164576,-0.216061,-0.704043
-2.31989,-1.36648,-3.41946,-0.795602
-1.11063,-0.559643,-0.510101,-0.323011
0.396147,0.0335979,0.135107,0.215794
-0.60076,-0.0689582,0.0899095,-0.434478
0.376667,-0.076833,-0.149123,-0.052046
-0.194851,-0.830585,-1.41203,-0.195711
0.183955,-0.205336,-0.53176,-0.761358
-0.974596,-0.509874,-0.933949,-0.280043
-0.253301,-0.426617,-0.715644,0.0627206
0.784957,0.0178266,0.121638,0.23415
0.775564,0.0325343,0.163694,-0.137914
-2.31826,0.0203634,0.106878,-0.0223848
-0.805354,-0.368985,-2.0789,-0.425488
-1.85762,-0.445,-1.34494,-0.309534
-0.0755123,0.0124419,-0.00965456,-0.226351
-0.314598,-0.730892,-1.7432,-0.571927
-0.735741,-0.272551,-0.901591,-0.848021
-0.523094,-0.674595,-0.526847,-1.04588
-1.1172,-0.192725,0.0194708,-1.93709
0.12499,0.0177706,0.062923,0.262223
-0.91687,-0.2074,-0.247661,-0.790777
-0.648529,-0.964389,-2.55528,-1.09385
-0.615469,-0.797147,-1.8954,-0.193777
0.0611441,-0.139192,-0.30162,-0.400215
0.4504,-0.139286,-0.166009,0.289294
-1.70566,-0.22081,-0.390621,-0.56894
-2.16124,-1.67472,-4.85342,-1.69836
0.123163,-0.323655,-1.00075,-1.06062
1.02007,-0.130968,-1.66798,-3.41469
-0.460828,-0.0371444,-0.578406,-0.458589
-0.71328,-0.208009,-0.118606,-0.237592
-0.190387,-0.277549,0.140371,-0.104377
-0.150038,-0.409719,-0.180934,-0.450807
-0.461672,-0.177378,0.139234,-0.64059
-0.58133,-0.0306491,-0.229447,-0.0375094
-0.320683,0.0265125,-0.340989,0.350785
0.345473,0.0410655,0.151459,0.185425
0.375033,-0.268881,-0.590444,-0.0139969
0.371107,-0.238194,-1.31066,0.0122853
-1.02459,-0.341004,-0.0695228,-0.147318
-1.93502,-1.29626,-3.09437,-1.20087
0.389525,-0.160154,0.106962,0.389764
-1.35836,-1.94866,-1.76874,-0.715608
-0.274333,-0.98716,-0.422395,-1.32875
-0.0182229,-0.582539,-0.00980434,-0.189709
0.214977,-0.0116476,-0.0283233,0.334238
0.13935,0.0623848,0.137902,0.264139
-1.57049,-1.20194,-0.809227,-0.67444
0.000912094,-0.33316,-0.356865,-0.18875
-0.947355,-0.63247,-0.274561,-0.0762766
-0.808609,-0.588454,-1.09757,-0.23234
-0.199233,-0.0127303,0.0540344,-0.568687
-0.979956,-0.0171294,0.140623,0.170212
-0.544134,-0.298536,0.020007,0.199148
-0.822753,-1.16712,-1.35001,-0.847952
-0.705519,-0.130169,-0.07484,-1.32726
-0.601407,-0.705016,-1.88038,-0.96271
-0.407459,-0.0216277,-0.617486,-2.74826
0.161512,-0.354933,-0.0737405,-0.354769
-1.02423,0.0334816,-0.837497,-4.23746
-0.458722,0.0119227,0.184156,0.0382923
-0.51252,-0.18054,-0.426033,0.00505643
-1.59548,0.101317,-0.259646,-0.66649
-2.18661,-1.09963,-2.84402,-1.26715
0.0480114,-0.835037,-0.418581,-0.944285
-0.75075,-0.585697,-0.379478,-0.29599
-0.0349043,-0.302204,-2.7783,-0.128169
0.0795189,-0.345902,-0.3809,-0.317659
0.32015,0.0473573,0.170121,0.272924
-0.548862,-0.90392,-2.44095,-1.21037
0.256372,0.020898,-0.0755494,0.284189
-0.421634,-0.748007,0.114365,-0.659856
-2.2968,-0.885643,-0.878801,-0.18607
0.390676,-0.13742,-2.21767,-0.36893
-0.979147,-1.43133,-2.58203,-1.19928
0.269488,-0.19362,0.0536427,0.0372984
-0.106293,-0.269273,-1.15742,-0.188333
0.0250753,0.0361946,0.134639,0.321966
-0.364644,-0.103966,0.137929,-0.762715
0.182151,-0.792321,-1.48534,-0.389291
0.777398,-0.0303966,-1.48123,-2.43479
-0.108071,-0.851884,-0.166577,-0.234068
0.18562,-0.335465,-0.438328,-0.199233
0.321356,0.0100784,0.221719,0.106441
-0.235807,-0.675655,-0.109628,-0.443182
-1.52773,-0.910688,-2.02938,-1.53006
-0.47473,-0.674609,-0.347544,-0.683378
-0.87735,-0.361012,-1.79367,-0.171276
0.512235,0.0378924,0.114121,0.364794
0.0637112,-0.4181,-0.351683,-0.196916
0.397901,-0.0097586,-0.530991,0.0614908
0.533477,-0.55704,0.132903,-0.455835
-0.878654,-0.226378,-0.0149405,-0.330707
-1.26372,-0.797722,-0.763857,-0.365888
0.0619604,0.0125723,0.129192,-0.0399362
-1.97684,-1.48587,-1.37292,-0.62301
-0.22774,-0.913711,-1.40787,-0.607498
-0.459159,0.0296534,0.193635,0.0232618
0.962284,-0.143002,-0.657654,-0.259821
-0.16358,-0.0528033,0.0929958,-0.345833
0.046259,0.0217485,0.13675,-0.375311
0.330083,-0.326948,-0.595515,-0.116655
-2.46631,-2.61369,-5.62584,-1.58887
-0.547721,-0.497092,-3.23686,-1.37177
-0.00464787,-0.0601501,-0.162125,-0.974088
-0.601435,-0.347013,-1.27452,-0.351942
-0.234038,-1.07568,-0.333875,-0.504271
0.258755,0.0142979,0.0822901,0.22944
-1.02223,-0.28005,-0.197349,0.116245
-1.15753,0.0324667,-0.0583093,-1.14507
-0.466874,-0.47275,-0.367756,-0.669908
-0.883108,-1.00974,-0.156545,-0.654978
-0.596209,-0.511548,-0.427095,0.0631025
-1.10889,-1.31482,-3.13181,-1.65671
0.562288,-0.121866,0.0479644,-0.685659
0.139999,-0.320091,-0.248917,-0.0342079
-0.126535,0.0115646,-0.013153,0.0432299
-0.195091,-0.364121,-1.15288,-0.491222
-1.8295,-2.1172,-3.99062,-0.991603
0.396882,0.0430763,-0.0129278,0.37092
0.565462,0.0299039,0.129624,0.0772072
0.327956,-0.284263,0.0631224,-1.83551
-0.886354,-0.0254269,-1.58963,-0.538986
0.200728,-0.150503,-0.0911132,-0.0907601
-0.647673,0.0454131,0.124953,-0.758703
0.012181,0.0927957,0.0276672,0.279473
-0.107792,-0.542453,-0.0835502,-0.718927
0.285105,0.0391126,0.108195,0.173669
-2.53714,-1.20254,-3.09852,-2.23109
-0.736062,0.0185205,0.0107758,0.0266809
-0.403572,-0.678369,0.063047,-0.717393
-0.349064,-0.702074,-1.37214,-0.297046
-0.160215,-0.218812,-0.626746,-0.0252406
-0.548413,-0.036103,0.139268,-0.123841
-0.571635,-0.132676,-0.0156794,0.0371206
-0.352657,-0.178026,-0.451681,-0.295243
-0.585598,-1.19172,-4.50593,-0.563042
-0.0311179,-0.0272089,0.0295834,-0.886048
-0.409924,-0.79969,-0.0154264,-0.25878
0.369451,-0.239807,-0.0425923,-0.162286
0.391701,-0.365951,-1.33188,-0.0948335
0.00363523,-0.26325,-0.0817577,-0.520994
-0.490041,0.0328432,0.138843,0.148392
0.0374839,0.0296271,0.140088,0.278179
0.0896664,-0.424313,-0.0690167,0.0970518
0.97593,0.0496807,0.178149,-0.385802
0.0795646,0.155343,0.172024,0.230933
-0.284667,0.0411027,0.138775,0.13133
0.0642033,0.0448351,0.143197,0.161727
0.401432,0.0210819,0.130782,0.213348
-0.446037,-0.263253,0.119087,-0.216897
-0.849223,-0.713986,-1.07969,-1.59075
0.40248,0.058251,0.121364,0.293439
-0.0649886,0.0153353,0.011359,0.0142675
-0.265152,-0.619647,-1.51484,-0.24128
-2.48238,-0.751182,-2.09372,-0.181928
-0.224383,-0.360087,-0.775866,-0.0649252
-0.157635,-0.268389,-0.0761849,-0.0546349
0.241788,-0.16509,0.0358637,0.27246
-0.31171,-0.20184,-0.0334351,-0.374894
0.992436,-0.0160342,-0.481033,-0.678274
0.145077,0.0899101,0.126226,0.203775
-0.899715,-0.527277,-1.62051,-0.384874
-0.207098,-1.61484,-1.53666,-0.660157
0.173319,0.0151512,0.17023,-0.720053
-0.246905,-0.00951359,-0.0610406,0.172756
-1.70658,-0.497498,-0.486459,-0.251715
0.029589,-0.0191678,-0.0862022,0.204086
0.560741,0.0233676,-0.112351,0.200799
0.567342,-0.284618,0.137746,0.150778
-0.208097,-0.0486574,-1.4227,-1.70284
0.644518,0.0307284,0.0045823,0.356606
-0.839918,-0.135455,-0.336371,-0.913328
-0.439082,-0.423638,-0.287439,-0.449469
-0.222881,0.0816548,0.102945,0.0932245
-0.0927378,0.0292569,-0.0120855,0.317371
-1.03217,0.0325892,0.0309649,-0.000484584
-0.997808,0.0296408,-0.140862,0.181122
-0.9174,-0.604621,-1.45553,-0.425271
-0.485193,-0.590563,-1.12274,-0.441084
-1.51522,-0.388115,-1.47898,-2.59685
-3.48962,-2.24789,-1.60815,-1.0702
-0.483203,0.0306165,0.116274,0.101273
-1.67638,-0.893113,-0.106143,-0.747939
-0.696389,-0.663298,-0.999241,-0.171037
-0.0925637,-0.244025,-1.60838,-0.0610465
-1.66043,-1.13468,-3.40083,-0.464774
0.355394,0.0430272,0.112293,0.318418
-0.428358,0.0204542,-0.110551,0.035617
1.30133,-0.0368916,-0.0487107,-0.406945
0.478306,0.0384312,-0.0439801,0.338527
-0.969448,-0.0128896,0.104727,-1.20794
0.406727,-0.0549654,0.115264,-0.426348
-1.79172,-1.06447,0.152023,-1.21889
-0.831579,-0.248352,0.105717,-0.644309
-0.968362,-0.289532,-1.59001,-0.557516
-1.72365,-1.15999,-7.81499,-2.44416
-0.11064,0.0180588,0.126694,-1.82334
-0.319049,-0.0900953,-0.0408104,0.0140553
