LikelihoodQ,LikelihoodT,LikelihoodTheta,LikelihoodPhi
0.423997,0.843502,0.0865574,0.132431
0.791296,-0.589357,0.0902646,-0.319078
-0.226185,0.13901,0.0696562,0.0758894
1.42938,-0.18972,-1.15204,-1.8228
1.10796,-0.820134,-0.425653,0.128635
0.645057,0.145975,0.093812,0.260935
0.272206,0.329185,0.0842706,0.157929
1.11544,-0.404168,0.0610923,-0.0825843
0.584972,-0.506728,-0.385279,0.00586451
2.14639,-0.0290952,0.0942052,-0.133175
1.79012,-0.685824,-0.19245,-0.557832
0.261746,0.158277,0.0945102,0.255173
0.631339,0.0610342,0.0177671,0.250814
0.520728,0.177329,0.0930782,0.251156
1.66999,-0.315737,-0.0450672,0.0252617
0.670177,0.250546,0.137923,0.121538
0.465273,-0.306234,0.138138,0.0118274
0.677138,1.14435,0.0984487,0.258562
0.866199,-0.104777,-0.073166,0.110983
-1.15219,1.18735,-1.2271,-0.436841
1.08744,-0.317736,0.0742254,0.112373
0.803144,-0.543153,-0.0798191,-0.0759856
1.09735,-0.753702,-0.231286,0.187506
1.61425,-0.105426,-0.0367991,-0.0358436
0.320163,-1.4866,-2.0647,-1.07722
1.15273,0.228394,0.1387,-0.0804248
0.990597,0.00114069,0.0708318,0.0529098
0.227629,0.0855977,0.0589617,0.32761
1.074,0.0433183,0.00228804,-0.475657
0.782044,-0.368604,0.0571543,0.188851
1.33909,-0.636552,-0.98829,-0.0830549
1.65382,-0.0516973,0.0846376,0.187514
0.599231,-0.940487,-0.966216,-0.689202
0.032668,0.0454746,0.13337,0.127263
0.917606,-0.430902,-0.124749,-0.654435
1.00888,-1.02254,-0.758068,-0.338699
1.19557,-0.303013,-0.0136817,-0.209434
0.850436,0.0826549,0.057028,0.215602
0.724887,0.0532538,0.117495,-0.0102533
-0.174872,30.6712,0.102598,0.124073
3.25771,-0.077863,-0.276286,-2.71406
1.61226,0.065147,0.143564,-3.88926
0.623474,2.483,0.091924,0.151078
0.815502,-0.406047,-0.0151751,0.211354
0.653527,0.0324178,0.0727892,0.219375
1.19864,0.048654,0.0969331,0.0264102
1.26305,-0.417915,-0.767257,-0.780116
0.275797,-0.571627,-0.720583,-0.102043
-0.698792,0.489249,0.0836921,0.142749
0.623531,-0.0650459,0.069563,-0.152704
-1.20191,-0.00840625,0.0355643,0.293915
0.257083,0.0665611,0.0853488,0.112667
0.940532,0.0285777,0.0932681,-1.79447
1.04522,0.0874527,0.100104,0.214019
1.00584,0.0382544,-1.3777,-0.0797728
3.02167,-0.811295,-0.485409,-0.165561
0.991599,-0.64596,0.0566927,-0.315092
0.954169,-0.0859642,-0.033004,0.201196
0.592596,0.126491,0.0841696,0.2609
0.441309,0.00454748,-0.369916,0.264124
0.363411,-0.115968,-0.152884,0.092315
0.924422,-0.645971,-0.476096,-0.249721
0.233548,-0.660817,-0.0722276,0.144799
0.783351,-1.33867,-1.39186,-0.413817
-0.0699095,-0.00691153,-0.594763,0.148033
-0.875331,-0.034893,0.0627921,-0.457991
-0.878697,0.0691448,0.111843,0.140616
0.223419,0.069698,-0.378101,0.0513849
0.511272,0.148661,0.0824314,0.27985
-0.381203,-0.0272794,-0.0623874,0.10761
0.862373,-0.0513866,-0.690329,0.106709
0.319762,0.0520658,0.0947939,0.171121
1.28633,-0.0639297,-1.05777,-0.763835
-0.386411,0.0580522,0.0730036,-0.206566
-0.0673091,0.104959,0.0602398,0.170087
0.973656,-0.299073,0.133744,0.193342
0.712181,-0.0339098,0.0775469,0.110746
0.0974497,0.747951,0.114008,0.140615
-0.0103955,0.770221,0.0973585,0.135728
1.70731,-1.48151,-0.479209,-0.576682
0.226939,-0.0707748,-0.218913,0.0703702
0.918447,0.0796051,0.137323,0.223561
1.62795,-0.0214376,0.0602581,-0.358113
-0.117043,0.383373,-0.0316107,0.160006
0.332485,0.830506,0.0915759,0.0558192
1.06284,-0.194184,0.141913,0.101576
2.04292,-0.95019,-0.424812,-0.212977
1.65036,-0.343137,-0.478549,0.0364715
0.607966,-0.472078,0.12409,0.192496
-0.694422,0.0687984,0.135838,0.16994
0.575016,-0.0635945,0.0952588,-1.3634
1.33995,0.0801779,0.079136,0.0311842
0.979981,0.0694942,0.114895,0.166138
0.702361,0.175495,0.0912238,0.224594
-0.0165254,2.52063,-1.25179,-0.672522
0.901158,0.0935395,0.00989004,0.159477
-0.0889939,0.0825699,0.156796,0.0290476
0.580486,0.287843,0.104239,0.178135
1.51526,0.066541,0.141424,-1.4242
0.461762,-0.471688,-1.3066,-0.269611
0.532537,-0.748586,-0.760676,0.155706
1.0694,0.0993957,0.0961595,0.148379
1.89417,0.00339407,-0.0938895,-0.113268
1.68507,-0.0856933,0.00749741,0.204226
0.0631283,0.523026,0.123398,-0.0564573
0.377683,0.0881077,0.0151801,-1.37189
0.489958,-0.496537,-3.23308,-1.30479
0.433234,0.0252973,0.130677,0.0668683
1.31857,-0.073746,-0.409376,-5.55049
1.68386,-0.747706,-0.620272,-0.435147
0.101081,-0.738642,0.112932,-0.614038
-0.435478,0.209121,-0.382647,-0.419928
0.762554,-0.273907,-0.278064,-0.234854
-0.530009,0.0303974,0.131645,0.172134
1.34273,0.106111,0.123245,0.0966917
1.76387,-0.500364,-0.406778,-0.205628
1.11981,-0.181484,-1.08861,-0.623534
0.881951,0.080469,0.125546,0.1045
1.16202,-0.344997,-0.107313,0.108382
0.770253,-0.0381806,0.0828928,0.148978
0.714254,0.0436573,0.112865,-3.52468
0.831727,0.0903915,0.0689371,0.148009
1.86005,0.0441397,0.125619,0.118462
0.0906906,-0.717012,-1.01805,-0.392945
0.652318,0.0417302,0.0791634,0.13797
2.20945,-0.181166,-0.201679,-0.680079
-0.800103,0.316401,0.0725508,0.128841
0.176254,-1.4025,-1.9778,-0.954618
-0.274534,0.128981,0.0834788,0.16461
1.74676,-0.508167,-0.872645,-0.779302
0.814338,0.272726,0.129678,0.0844955
0.81228,0.0390371,-0.243179,-0.0987111
-1.60992,0.0239963,0.105082,0.217257
0.806598,0.348525,0.0966247,0.17076
0.214168,1.20207,-1.90688,0.133247
0.135949,0.73782,0.116558,0.181619
-0.213153,0.442102,0.0810253,0.0591987
1.1141,0.0863179,0.0985124,-0.253686
0.754225,-0.547153,-0.0651682,-0.740939
1.08387,-0.466161,-1.11406,-0.258272
0.25998,-0.0707387,-0.220353,0.209742
-0.237143,-0.0844491,0.0722237,-0.244167
-0.72092,-0.642816,0.0813178,0.0439646
-1.05059,-0.071941,0.0423698,0.182781
-0.248066,-0.00730338,0.102276,0.0387268
1.45768,0.0305626,0.0804536,-2.43205
-0.349681,-0.508299,0.102221,-0.167078
-1.60191,-1.58739,-0.391474,-3.3902
1.19747,0.101746,0.103634,0.137427
0.114151,0.0788323,0.00419605,0.19354
-0.257941,0.0909111,0.125442,0.115141
1.03937,0.0683537,0.0740404,-1.11659
-0.494508,-0.719331,-0.541955,-0.823288
1.10757,-0.669349,-0.693086,-0.251865
1.61147,-0.00283829,-0.525672,-2.75141
1.76565,0.0829815,0.0772044,0.0217053
1.55131,-0.0614966,0.0571314,-3.06894
0.898776,0.0297953,0.0809294,0.149273
1.29743,-1.14403,-0.583345,-2.10314
1.20315,0.0167017,0.156457,0.0864358
0.220488,-0.349765,-0.315987,-0.26111
-0.812686,-0.176469,-0.354747,-0.470766
0.614442,-1.28583,-1.9655,-0.596038
0.105444,-0.388948,0.0991216,0.152472
0.485179,4.82565,-0.861662,-0.062651
1.41489,0.0269032,0.0498208,0.152316
0.193824,0.766325,0.0676796,0.140793
1.59363,0.0796032,0.0032649,0.374459
-0.0306087,-0.444971,-0.106493,-0.0142194
1.43897,-0.195585,-0.13121,-0.19336
1.2004,0.146908,0.0840614,0.180233
0.18082,0.0814738,0.0792175,0.220543
0.281041,0.172709,0.0666045,0.196777
0.0374591,0.13476,0.147616,0.210961
0.80098,-0.663708,0.0513251,-1.11722
1.63746,0.0530504,0.0576884,0.10787
1.06342,-0.50219,-1.52138,-0.307257
0.652503,-0.0156875,0.0355396,0.0406293
0.891705,-0.797551,-0.310255,-0.314758
1.8664,-0.500314,-0.758311,-0.258386
0.154667,0.0608907,0.138308,0.289641
0.340905,0.574295,0.0861097,0.206549
0.803543,-0.0478075,-0.100662,0.167847
1.01036,-0.751598,-1.40127,-0.223775
1.18629,0.0864297,0.115463,0.267629
-0.234348,0.259711,0.101474,0.19871
-1.34949,-0.183989,0.0247926,0.271235
0.626238,3.10701,0.109382,0.118032
-0.641681,-0.041693,0.137189,0.0847182
-0.756627,-0.21651,-0.369338,0.0015404
1.20807,0.0364088,0.0671652,0.141694
0.482104,0.142365,0.128446,0.21735
0.67232,0.0723559,0.0720875,0.246212
1.53185,-0.26392,-0.551815,-1.43347
1.03215,0.028821,0.0699739,0.197935
0.523916,-0.614189,-0.587013,-0.0944054
1.38041,-0.678659,0.0273384,0.0632227
-0.127662,0.00463309,-0.145123,0.011268
1.01139,0.0113803,0.0616084,0.26345
0.113419,0.485867,-0.739337,-0.311036
0.509327,-0.144914,0.0969658,0.140092
0.144189,-0.0209677,0.0164342,0.0812076
2.10387,0.0520437,0.097602,0.136447
0.0079651,0.0841404,-0.338704,0.0509652
1.19361,0.0912635,0.159096,0.0236643
-0.544318,0.138039,0.109473,0.0474179
-0.331912,0.304632,0.0918457,0.168497
