LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
0.282013,0.0729731,0.123823,0.189206
0.393648,-0.317104,0.140356,-0.00703251
-0.0505707,0.0132433,0.132543,0.202945
0.83207,-0.199852,-0.368208,-0.801549
0.499853,-0.478966,-0.432993,0.256216
0.578312,0.0518944,0.108207,0.433032
0.235668,0.0203339,0.0913982,0.2027
0.589544,-0.279494,0.0570508,0.120231
0.426554,-0.313219,-0.346685,0.233741
0.958566,-0.00408085,0.130006,0.0889782
1.20863,-0.207657,-0.0330372,-0.205147
-0.0688839,0.0530863,0.129836,0.395599
0.19359,0.0231284,-0.0290333,0.355164
0.362975,0.0233945,0.123585,0.303696
0.780419,-0.240994,-0.0365394,0.243437
0.372832,0.0370399,0.179984,0.205471
0.267221,-0.15538,0.165136,0.130214
0.364042,0.120078,0.147691,0.289422
0.399158,-0.0484742,0.00183314,0.204474
-0.679692,0.125371,-0.35601,-0.14307
0.417135,-0.184046,0.0891186,0.263257
0.363227,-0.335323,-0.117255,0.153489
0.674903,-0.319757,-0.240394,0.328178
0.920905,-0.0605119,-0.0592123,0.173333
0.326827,-0.878491,-2.03565,-0.492094
0.51417,0.0237793,0.207819,0.0677552
0.50303,0.000431139,0.0840486,0.223501
0.261802,0.00904819,0.0624591,0.441569
0.889209,0.0205926,0.0738575,-0.0136557
0.377508,-0.237611,0.0543049,0.306652
0.631646,-0.306175,-0.769053,0.101968
0.845819,-0.0318938,0.0912453,0.328272
0.348792,-0.507666,-0.668189,-0.18373
-0.235067,0.0233117,0.188954,0.200357
0.459565,-0.282616,-0.0220365,-0.107826
0.487354,-0.457031,-0.467273,0.0676173
0.784217,-0.162448,-0.00930251,0.0906336
0.419049,0.0288198,0.0601878,0.404493
0.761244,0.0257439,0.13294,0.151962
-0.189431,1.37382,0.111335,0.176778
1.40131,-0.0244706,0.063748,-1.30223
1.15796,0.0220575,0.194533,-2.08493
0.635452,0.129931,0.113044,0.18596
0.506842,-0.271969,-0.024063,0.307404
0.511984,0.00467223,0.0891564,0.394174
0.727163,0.0168774,0.155326,0.121294
1.07838,-0.226868,-0.424078,-0.22087
-0.0290337,-0.275969,-0.45536,0.118809
-0.275185,0.092577,0.134167,0.226852
0.217906,-0.0398582,0.103341,0.0619437
-0.778808,-0.0113946,0.0116094,0.407971
0.551613,0.0152281,0.113722,0.260367
0.655568,0.00701182,0.148021,-0.861542
0.521319,0.0355033,0.108798,0.404308
0.54228,-0.223256,-0.695069,0.208446
1.71488,-0.205006,-0.237167,0.0469539
0.634711,-0.363953,0.0810247,0.000137736
0.76472,-0.0433088,-0.026879,0.349571
0.623159,0.0385298,0.0818484,0.36243
0.587752,-0.00807685,-0.356349,0.359171
-0.243038,-0.0580909,-0.174563,0.233603
0.716213,-0.506875,-0.211237,0.0198569
0.206594,-0.250013,-0.0490602,0.289063
0.407374,-0.717981,-0.907215,0.0321714
0.0284417,-0.00399572,-0.119558,0.279089
-0.595236,-0.00996153,0.0942083,-0.118319
