plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,296,41,0.8783382789317508,0.017807089134027024
overall,300,396,79,0.8336842105263158,0.01708522585192921
overall,600,458,79,0.8528864059590316,0.01528568325731792
overall,900,621,86,0.8783592644978784,0.012293227109686526
overall,1200,903,73,0.9252049180327869,0.008420358433480725
overall,1500,928,67,0.9326633165829146,0.007944686570721823
overall,1800,838,52,0.9415730337078652,0.007862101950555938
overall,2100,690,27,0.9623430962343096,0.007109313961224633
overall,2400,417,21,0.952054794520548,0.010208607563289163
overall,2700,282,13,0.9559322033898305,0.011949870705221285
overall,3000,232,8,0.9666666666666667,0.011587029785896784
overall,3300,219,2,0.9909502262443439,0.006370135123845666
overall,3600,180,2,0.989010989010989,0.007727591718766408
overall,3900,144,0,1.0,0.0
overall,4200,119,0,1.0,0.0
overall,4500,81,0,1.0,0.0
overall,4800,64,0,1.0,0.0
overall,5100,57,0,1.0,0.0
overall,5400,64,0,1.0,0.0
