plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
electron,0,457,135,0.7719594594594594,0.01724417510401028
electron,300,842,319,0.7252368647717484,0.013100958100152089
electron,600,1050,396,0.7261410788381742,0.011727077710726022
electron,900,1176,361,0.7651268705270007,0.010813006413263241
electron,1200,1286,365,0.7789218655360388,0.010212834792743588
electron,1500,1385,272,0.835847917923959,0.00909966860021621
electron,1800,1314,181,0.8789297658862876,0.008436750017221429
electron,2100,1340,137,0.9072444143534191,0.007548174640589246
electron,2400,1227,77,0.9409509202453987,0.006527565777579399
electron,2700,1160,38,0.9682804674457429,0.005063322219039604
electron,3000,1084,26,0.9765765765765766,0.00453959226038925
electron,3300,935,7,0.9925690021231423,0.0027981981894883586
electron,3600,898,6,0.9933628318584071,0.0027006055000858946
electron,3900,766,2,0.9973958333333334,0.0018390246589277662
electron,4200,634,1,0.9984251968503937,0.0015735626585515613
electron,4500,588,0,1.0,0.0
electron,4800,521,0,1.0,0.0
electron,5100,458,0,1.0,0.0
electron,5400,387,0,1.0,0.0
