plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
muon,0,591,136,0.8129298486932599,0.014463106305774116
muon,300,2012,270,0.8816827344434707,0.006761178630343151
muon,600,2671,280,0.9051169095221958,0.005394635990035827
muon,900,3211,244,0.9293777134587554,0.004358559593747925
muon,1200,3735,219,0.9446130500758725,0.0036375784056311734
muon,1500,3526,195,0.9475947325987638,0.0036531621946447887
muon,1800,3007,114,0.9634732457545658,0.0033579829501748206
muon,2100,1975,101,0.9513487475915221,0.004721752436649756
muon,2400,1085,53,0.9534270650263621,0.006246538352542827
muon,2700,492,31,0.9407265774378585,0.010325494626082229
muon,3000,186,15,0.9253731343283582,0.018535658332233473
muon,3300,72,12,0.8571428571428572,0.038180177416060626
muon,3600,17,7,0.7083333333333333,0.09278048066588464
muon,3900,8,4,0.6666666666666667,0.13608276348795434
muon,4200,2,0,1.0,0.0
muon,4500,1,2,0.33333333333333337,0.2721655269759087
muon,4800,0,2,0.0,0.0
muon,5100,0,0,0.0,0.0
muon,5400,0,0,0.0,0.0
