plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
electron,0,441,189,0.7,0.018257418583505537
electron,300,745,434,0.6318914334181509,0.014045988014261636
electron,600,994,458,0.6845730027548209,0.01219483719323341
electron,900,1209,387,0.7575187969924813,0.01072801327923836
electron,1200,1271,358,0.7802332719459791,0.010259652757525647
electron,1500,1391,261,0.8420096852300242,0.00897364230286104
electron,1800,1289,208,0.8610554442217768,0.008939751064584351
electron,2100,1286,134,0.9056338028169014,0.007757831935965714
electron,2400,1169,80,0.9359487590072058,0.006928011366131928
electron,2700,1134,40,0.9659284497444633,0.0052946149009637025
electron,3000,1073,25,0.9772313296903461,0.0045015943301953375
electron,3300,878,10,0.9887387387387387,0.003541015349130531
electron,3600,876,4,0.9954545454545455,0.002267556100446067
electron,3900,790,0,1.0,0.0
electron,4200,665,0,1.0,0.0
electron,4500,632,0,1.0,0.0
electron,4800,546,0,1.0,0.0
electron,5100,453,0,1.0,0.0
electron,5400,406,0,1.0,0.0
