plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
muon,0,645,88,0.8799454297407913,0.01200508478100114
muon,300,2153,193,0.9177323103154306,0.005672946106484827
muon,600,2867,233,0.9248387096774193,0.004735319274572436
muon,900,3182,228,0.9331378299120234,0.0042774598588779
muon,1200,3782,216,0.9459729864932467,0.003575390263641479
muon,1500,3567,185,0.9506929637526652,0.0035346236120481467
muon,1800,2854,108,0.9635381498987171,0.0034439852347617214
muon,2100,1943,83,0.9590325765054294,0.004403685396064964
muon,2400,1085,60,0.9475982532751092,0.0065854015912445414
muon,2700,465,30,0.9393939393939394,0.010724555607461108
muon,3000,177,14,0.9267015706806283,0.018858215754919198
muon,3300,70,7,0.9090909090909091,0.03276136227983851
muon,3600,19,7,0.7307692307692308,0.08698929247330861
muon,3900,4,3,0.5714285714285714,0.1870439059165649
muon,4200,1,2,0.33333333333333337,0.2721655269759087
muon,4500,2,2,0.5,0.25
muon,4800,0,1,0.0,0.0
muon,5100,0,0,0.0,0.0
muon,5400,0,0,0.0,0.0
