plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,1086,277,0.7967718268525312,0.01089961137334524
overall,300,2898,627,0.8221276595744681,0.006440866223781205
overall,600,3861,691,0.8481985940246046,0.005318455678886454
overall,900,4391,615,0.8771474230922892,0.004639626374127485
overall,1200,5053,574,0.8979918251288431,0.0040347369222028095
overall,1500,4958,446,0.9174685418208735,0.003743240060314086
overall,1800,4143,316,0.9291320923973985,0.003842773608968507
overall,2100,3229,217,0.937028438769588,0.004138004701500369
overall,2400,2254,140,0.9415204678362573,0.0047957303344701935
overall,2700,1599,70,0.9580587177950869,0.004906691427233391
overall,3000,1250,39,0.969743987587277,0.004770983713037917
overall,3300,948,17,0.9823834196891191,0.004234846365563764
overall,3600,895,11,0.9878587196467992,0.003638442900191439
overall,3900,794,3,0.9962358845671268,0.002169119089849358
overall,4200,666,2,0.9970059880239521,0.002113914504760282
overall,4500,634,2,0.9968553459119497,0.0022201072409918487
overall,4800,546,1,0.9981718464351006,0.0018264817277277132
overall,5100,453,0,1.0,0.0
overall,5400,406,0,1.0,0.0
