plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,0,0.0,0.0
overall,100,0,0,0.0,0.0
overall,200,0,0,0.0,0.0
overall,300,0,0,0.0,0.0
overall,400,0,0,0.0,0.0
overall,500,0,0,0.0,0.0
overall,600,0,0,0.0,0.0
overall,700,1,0,1.0,0.0
overall,800,4,1,0.8,0.17888543819998318
overall,900,2,1,0.6666666666666667,0.2721655269759087
overall,1000,0,0,0.0,0.0
overall,1100,2,0,1.0,0.0
overall,1200,0,0,0.0,0.0
overall,1300,1,0,1.0,0.0
overall,1400,0,0,0.0,0.0
overall,1500,3,0,1.0,0.0
overall,1600,3,0,1.0,0.0
overall,1700,0,0,0.0,0.0
overall,1800,0,0,0.0,0.0
