plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,0,105,105,0.5,0.03450327796711771
1-ring,200,2977,553,0.843342776203966,0.006117724632762554
1-ring,400,3613,399,0.9005483549351945,0.004724752267337859
1-ring,600,2656,279,0.9049403747870528,0.0054138220750923095
1-ring,800,1862,185,0.9096238397655105,0.006337222252667692
1-ring,1000,1154,104,0.9173290937996821,0.007764233939750492
1-ring,1200,631,55,0.9198250728862973,0.010368354816348138
1-ring,1400,278,28,0.9084967320261438,0.016482355382869053
1-ring,1600,137,17,0.8896103896103896,0.025252458322870555
1-ring,1800,75,13,0.8522727272727273,0.03782494451414466
1-ring,2000,39,17,0.6964285714285714,0.061443327012803695
1-ring,2200,28,8,0.7777777777777778,0.06928995160692485
1-ring,2400,28,8,0.7777777777777778,0.06928995160692485
1-ring,2600,18,3,0.8571428571428572,0.07636035483212125
