plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
multi-ring,0,689,302,0.6952573158425832,0.014621859305019032
multi-ring,200,4076,936,0.8132482043096568,0.005504760373631576
multi-ring,400,3005,804,0.7889209766342872,0.006612014595209961
multi-ring,600,1674,532,0.7588395285584769,0.00910804737316289
multi-ring,800,956,344,0.7353846153846153,0.012234694766562478
multi-ring,1000,525,187,0.7373595505617978,0.016492271076987176
multi-ring,1200,318,99,0.762589928057554,0.020836610563302643
multi-ring,1400,193,55,0.7782258064516129,0.02638046691731599
multi-ring,1600,133,25,0.8417721518987342,0.02903422208038895
multi-ring,1800,123,17,0.8785714285714286,0.0276048227501474
multi-ring,2000,78,9,0.896551724137931,0.03265048803268961
multi-ring,2200,75,8,0.9036144578313253,0.03239354565890753
multi-ring,2400,57,8,0.8769230769230769,0.04074857129781272
multi-ring,2600,41,9,0.8200000000000001,0.054332310828824504
