plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,794,407,0.6611157368859284,0.01365818354656262
overall,200,7053,1489,0.8256848513228752,0.004104827773911659
overall,400,6618,1203,0.8461833525124665,0.004079460818308622
overall,600,4330,811,0.8422485897685275,0.005083735766615764
overall,800,2818,529,0.841948013146101,0.006305430771726886
overall,1000,1679,291,0.8522842639593908,0.007994153871747322
overall,1200,949,154,0.8603807796917498,0.010435906946142546
overall,1400,471,83,0.8501805054151624,0.015162990143278631
overall,1600,270,42,0.8653846153846154,0.019323003665108182
overall,1800,198,30,0.868421052631579,0.022386744979563177
overall,2000,117,26,0.8181818181818181,0.03225340341758633
overall,2200,103,16,0.865546218487395,0.03127218031671371
overall,2400,85,16,0.8415841584158416,0.03633184004673582
overall,2600,59,12,0.8309859154929577,0.04447634657729005
