plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,0,0,1,0.0,0.0
1-ring,200,407,83,0.8306122448979592,0.01694502175545733
1-ring,400,1838,228,0.8896418199419167,0.006893578115987035
1-ring,600,2923,286,0.9108756622000623,0.005029708877916387
1-ring,800,2803,283,0.9082955281918341,0.005195303030332019
1-ring,1000,2410,262,0.9019461077844312,0.005753133955786921
1-ring,1200,1563,205,0.8840497737556561,0.007614353381595379
1-ring,1400,827,167,0.8319919517102616,0.011858545212926138
1-ring,1600,393,100,0.7971602434077079,0.0181103104977326
1-ring,1800,178,48,0.7876106194690266,0.0272062046840896
1-ring,2000,103,24,0.8110236220472441,0.03473910711600725
1-ring,2200,48,26,0.6486486486486487,0.05549574846814486
1-ring,2400,34,12,0.7391304347826086,0.06474307670904994
1-ring,2600,33,14,0.7021276595744681,0.0667074287283814
