plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
multi-ring,0,0,0,0.0,0.0
multi-ring,200,1,0,1.0,0.0
multi-ring,400,137,46,0.7486338797814207,0.03206731255596509
multi-ring,600,1029,455,0.6933962264150944,0.011969128630246502
multi-ring,800,2012,735,0.732435384055333,0.008446361568699214
multi-ring,1000,2329,800,0.7443272611057846,0.0077986852535807975
multi-ring,1200,1956,551,0.7802153968887116,0.008270442064675521
multi-ring,1400,1547,358,0.8120734908136483,0.008950436178505676
multi-ring,1600,865,173,0.8333333333333334,0.01156738192313929
multi-ring,1800,471,85,0.8471223021582734,0.015261869266148725
multi-ring,2000,262,37,0.8762541806020067,0.01904341032626659
multi-ring,2200,175,27,0.8663366336633663,0.023942740154789408
multi-ring,2400,157,23,0.8722222222222222,0.02488312874262294
multi-ring,2600,144,11,0.9290322580645162,0.02062433913546314
