plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,1,0.0,0.0
overall,200,408,83,0.8309572301425662,0.01691402193799158
overall,400,1975,274,0.8781680746998666,0.00689722904252171
overall,600,3952,741,0.8421052631578947,0.005322819517066609
overall,800,4815,1018,0.8254757414709412,0.0049697445953527705
overall,1000,4739,1062,0.8169281158420962,0.005077516162700237
overall,1200,3519,756,0.8231578947368421,0.005835342512519855
overall,1400,2374,525,0.8189030700241462,0.0071523323369092175
overall,1600,1258,273,0.821685173089484,0.009782702760220849
overall,1800,649,133,0.829923273657289,0.01343501140040357
overall,2000,365,61,0.8568075117370892,0.016970590383160542
overall,2200,223,53,0.8079710144927537,0.023709737361877672
overall,2400,191,35,0.8451327433628318,0.024065120856818886
overall,2600,177,25,0.8762376237623762,0.023170189372822968
