plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,10,1421,170,0.8931489629164048,0.007744907410474917
1-ring,15,2083,216,0.9060461070030448,0.006085034622960144
1-ring,20,2437,243,0.9093283582089552,0.005546623793776447
1-ring,25,2316,277,0.8931739298110297,0.006066041636244031
1-ring,30,1877,216,0.8967988533205924,0.00664974772227712
1-ring,35,1244,183,0.8717589348283111,0.00885115152024195
1-ring,40,664,119,0.8480204342273308,0.012829652025127161
1-ring,45,198,80,0.7122302158273381,0.027152535785887295
1-ring,50,35,49,0.41666666666666663,0.0537914353639919
1-ring,55,5,33,0.13157894736842102,0.05483610220174281
1-ring,60,1,12,0.07692307692307687,0.07390530175619406
1-ring,65,0,10,0.0,0.0
1-ring,70,0,10,0.0,0.0
1-ring,75,0,7,0.0,0.0
1-ring,80,0,8,0.0,0.0
1-ring,85,0,3,0.0,0.0
1-ring,90,0,3,0.0,0.0
1-ring,95,0,3,0.0,0.0
1-ring,100,1,4,0.19999999999999996,0.17888543819998318
