plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
multi-ring,10,434,378,0.5344827586206897,0.017504782575123543
multi-ring,15,616,534,0.5356521739130435,0.01470666582067832
multi-ring,20,928,575,0.6174318030605456,0.012536301821506732
multi-ring,25,1150,554,0.6748826291079812,0.011347479762909826
multi-ring,30,1334,422,0.7596810933940774,0.010196411941316676
multi-ring,35,1318,270,0.8299748110831234,0.009426790165685754
multi-ring,40,1254,137,0.901509705248023,0.007989477110196479
multi-ring,45,1094,60,0.9480069324090121,0.006535451152147262
multi-ring,50,923,24,0.9746568109820486,0.005107183977692373
multi-ring,55,678,4,0.9941348973607038,0.0029239388155294873
multi-ring,60,537,0,1.0,0.0
multi-ring,65,429,3,0.9930555555555556,0.0039954311684428975
multi-ring,70,295,0,1.0,0.0
multi-ring,75,215,0,1.0,0.0
multi-ring,80,176,2,0.9887640449438202,0.007900258981018567
multi-ring,85,113,2,0.9826086956521739,0.012190105353508202
multi-ring,90,101,0,1.0,0.0
multi-ring,95,61,0,1.0,0.0
multi-ring,100,64,1,0.9846153846153847,0.015265813487902579
