plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,10,1855,548,0.7719517270079068,0.008559168575211232
overall,15,2699,750,0.7825456654102638,0.007024125822167045
overall,20,3365,818,0.8044465694477647,0.006132497632911384
overall,25,3466,831,0.8066092622760065,0.006025134699468963
overall,30,3211,638,0.8342426604312808,0.0059938880264078145
overall,35,2562,453,0.8497512437810946,0.006507402787288673
overall,40,1918,256,0.8822447102115916,0.006912815635919802
overall,45,1292,140,0.9022346368715084,0.007848393107643055
overall,50,958,73,0.9291949563530553,0.007988333481699356
overall,55,683,37,0.9486111111111111,0.00822834455704912
overall,60,538,12,0.9781818181818182,0.006229278195502645
overall,65,429,13,0.9705882352941176,0.008036499429676202
overall,70,295,10,0.9672131147540983,0.010196737729964633
overall,75,215,7,0.9684684684684685,0.01172840051359269
overall,80,176,10,0.946236559139785,0.016538149655163578
overall,85,113,5,0.9576271186440678,0.018543905820074667
overall,90,101,3,0.9711538461538461,0.016412370233372362
overall,95,61,3,0.953125,0.026421385270446646
overall,100,65,5,0.9285714285714286,0.030781843120404807
