plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
multi-ring,0,410,325,0.5578231292517006,0.018319035329573945
multi-ring,300,711,354,0.6676056338028169,0.014434841506308934
multi-ring,600,807,379,0.6804384485666104,0.013540332801552238
multi-ring,900,973,384,0.7170228445099485,0.012227910767573007
multi-ring,1200,1044,443,0.7020847343644923,0.011860026506728573
multi-ring,1500,1115,548,0.6704750450992183,0.01152628461041442
multi-ring,1800,1196,415,0.7423960273122284,0.01089547898949188
multi-ring,2100,1069,289,0.7871870397643593,0.011106778708423838
multi-ring,2400,1009,126,0.8889867841409692,0.00932474713023782
multi-ring,2700,853,64,0.9302071973827699,0.008414154826216633
multi-ring,3000,649,17,0.9744744744744744,0.0061113261994572895
multi-ring,3300,457,5,0.9891774891774892,0.004813712394538353
multi-ring,3600,338,3,0.9912023460410557,0.005056935437868003
multi-ring,3900,296,7,0.976897689768977,0.008630400159183383
multi-ring,4200,233,1,0.9957264957264957,0.00426436307742495
multi-ring,4500,162,0,1.0,0.0
multi-ring,4800,141,1,0.9929577464788732,0.00701741304329579
multi-ring,5100,95,0,1.0,0.0
multi-ring,5400,77,0,1.0,0.0
