plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,1218,510,0.7048611111111112,0.010972185086636901
overall,300,1967,600,0.7662641215426568,0.008352933081914734
overall,600,2213,558,0.7986286539155539,0.007618211363179884
overall,900,2537,568,0.8170692431561997,0.0069381229982555526
overall,1200,3125,632,0.8317806760713335,0.006102696293089452
overall,1500,3354,735,0.8202494497432136,0.006004813629917972
overall,1800,3156,598,0.8407032498668088,0.0059727960701525685
overall,2100,2476,444,0.8479452054794521,0.006644962402974076
overall,2400,1752,220,0.8884381338742393,0.007089539481302471
overall,2700,1029,135,0.884020618556701,0.009385233911302906
overall,3000,698,41,0.9445196211096076,0.008420792814330617
overall,3300,473,25,0.9497991967871486,0.009784903806850079
overall,3600,338,14,0.9602272727272727,0.010416177517941706
overall,3900,297,16,0.9488817891373802,0.01244863431964967
overall,4200,233,12,0.9510204081632653,0.013788577263074007
overall,4500,163,9,0.9476744186046512,0.016979401838251293
overall,4800,142,8,0.9466666666666667,0.018346459947155815
overall,5100,95,5,0.95,0.021794494717703367
overall,5400,77,3,0.9625,0.021240806834958038
