plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,0,0.0,0.0
overall,100,568,59,0.9059011164274322,0.011660008376825043
overall,200,909,89,0.9108216432865731,0.00902154942986795
overall,300,629,47,0.9304733727810651,0.009782598011559129
overall,400,414,35,0.9220489977728286,0.01265216017005438
overall,500,189,18,0.9130434782608696,0.01958446158528047
overall,600,139,9,0.9391891891891891,0.019644278463382396
overall,700,75,7,0.9146341463414634,0.03085736752118743
overall,800,47,1,0.9791666666666666,0.02061517723444083
overall,900,30,2,0.9375,0.0427908248050911
overall,1000,16,1,0.9411764705882353,0.057067205890901876
overall,1100,15,1,0.9375,0.06051536478449089
overall,1200,15,1,0.9375,0.06051536478449089
overall,1300,5,0,1.0,0.0
overall,1400,5,0,1.0,0.0
overall,1500,8,0,1.0,0.0
overall,1600,1,0,1.0,0.0
overall,1700,1,0,1.0,0.0
overall,1800,1,0,1.0,0.0
