plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,0,0.0,0.0
overall,100,0,0,0.0,0.0
overall,200,52,41,0.5591397849462365,0.05148363199924294
overall,300,46,10,0.8214285714285714,0.05117959859117061
overall,400,24,3,0.8888888888888888,0.0604812282168686
overall,500,10,0,1.0,0.0
overall,600,6,0,1.0,0.0
overall,700,6,0,1.0,0.0
overall,800,0,1,0.0,0.0
overall,900,1,0,1.0,0.0
overall,1000,1,0,1.0,0.0
overall,1100,0,0,0.0,0.0
overall,1200,1,0,1.0,0.0
overall,1300,2,0,1.0,0.0
overall,1400,1,0,1.0,0.0
overall,1500,2,0,1.0,0.0
overall,1600,2,0,1.0,0.0
overall,1700,4,0,1.0,0.0
overall,1800,1,0,1.0,0.0
