plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,0,0.0,0.0
overall,100,0,0,0.0,0.0
overall,200,1944,2133,0.4768211920529801,0.00782226438936508
overall,300,2650,563,0.8247743541861189,0.0067067334473240045
overall,400,1672,176,0.9047619047619048,0.00682844035252603
overall,500,895,81,0.9170081967213115,0.008830378119470754
overall,600,498,34,0.9360902255639098,0.010604414172368605
overall,700,254,11,0.9584905660377359,0.012253055199202528
overall,800,134,8,0.9436619718309859,0.019349282978133778
overall,900,87,5,0.9456521739130435,0.02363539623718833
overall,1000,68,3,0.9577464788732395,0.023874130344503683
overall,1100,42,2,0.9545454545454546,0.03140223998671625
overall,1200,28,2,0.9333333333333333,0.04554200340426488
overall,1300,35,1,0.9722222222222222,0.027389258255090816
overall,1400,16,0,1.0,0.0
overall,1500,8,0,1.0,0.0
overall,1600,8,1,0.8888888888888888,0.10475656017578482
overall,1700,15,0,1.0,0.0
overall,1800,8,0,1.0,0.0
