plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,0,808,185,0.8136958710976838,0.012355709015397603
1-ring,300,1256,246,0.8362183754993342,0.009548990785297794
1-ring,600,1406,179,0.8870662460567823,0.00795014914303729
1-ring,900,1564,184,0.8947368421052632,0.007340322536886065
1-ring,1200,2081,189,0.9167400881057268,0.005798666828613691
1-ring,1500,2239,187,0.9229183841714756,0.005415164515613307
1-ring,1800,1960,183,0.9146056929538031,0.006036988158378607
1-ring,2100,1407,155,0.9007682458386683,0.007564693798896331
1-ring,2400,743,94,0.8876941457586619,0.010913653136521373
1-ring,2700,176,71,0.7125506072874495,0.028796524710312625
1-ring,3000,49,24,0.6712328767123288,0.054981852788588643
1-ring,3300,16,20,0.4444444444444444,0.08281733249999221
1-ring,3600,0,11,0.0,0.0
1-ring,3900,1,9,0.09999999999999998,0.09486832980505137
1-ring,4200,0,11,0.0,0.0
1-ring,4500,1,9,0.09999999999999998,0.09486832980505137
1-ring,4800,1,7,0.125,0.11692679333668567
1-ring,5100,0,5,0.0,0.0
1-ring,5400,0,3,0.0,0.0
