plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,0,0.0,0.0
overall,100,0,0,0.0,0.0
overall,200,0,0,0.0,0.0
overall,300,0,0,0.0,0.0
overall,400,0,0,0.0,0.0
overall,500,0,0,0.0,0.0
overall,600,0,0,0.0,0.0
overall,700,1,1,0.5,0.3535533905932738
overall,800,4,0,1.0,0.0
overall,900,6,0,1.0,0.0
overall,1000,2,0,1.0,0.0
overall,1100,1,0,1.0,0.0
overall,1200,2,0,1.0,0.0
overall,1300,0,0,0.0,0.0
overall,1400,0,0,0.0,0.0
overall,1500,2,0,1.0,0.0
overall,1600,2,0,1.0,0.0
overall,1700,0,0,0.0,0.0
overall,1800,0,0,0.0,0.0
