plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
multi-ring,0,763,239,0.7614770459081837,0.013463551538248868
multi-ring,200,4085,906,0.818473251853336,0.005456055438179896
multi-ring,400,2796,920,0.7524219590958019,0.007080255649781586
multi-ring,600,1610,648,0.713020372010629,0.009519508688142456
multi-ring,800,922,400,0.6974281391830559,0.012634215300613892
multi-ring,1000,477,212,0.6923076923076923,0.017583215025218292
multi-ring,1200,312,116,0.7289719626168225,0.02148526121278903
multi-ring,1400,200,66,0.7518796992481203,0.02648283719344612
multi-ring,1600,144,24,0.8571428571428572,0.026997462357801944
multi-ring,1800,116,23,0.8345323741007195,0.031518875317568584
multi-ring,2000,80,16,0.8333333333333334,0.03803628871563654
multi-ring,2200,68,13,0.8395061728395061,0.04078482509552402
multi-ring,2400,59,10,0.855072463768116,0.0423791624818312
multi-ring,2600,49,11,0.8166666666666667,0.04995368225036439
