plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,842,381,0.688470973017171,0.013242770357658373
overall,200,6741,1798,0.789436702189952,0.004412111579443647
overall,400,6174,1565,0.7977774906318646,0.004565761414410332
overall,600,4216,1021,0.8050410540385717,0.005474435097036629
overall,800,2731,616,0.815954586196594,0.006698346933882303
overall,1000,1562,336,0.8229715489989462,0.008761245326543272
overall,1200,937,185,0.8351158645276292,0.011078127884124775
overall,1400,469,92,0.8360071301247771,0.01563277377415776
overall,1600,283,49,0.8524096385542168,0.019466332277334245
overall,1800,182,44,0.8053097345132744,0.02633900553247926
overall,2000,123,24,0.8367346938775511,0.03048471747591472
overall,2200,102,25,0.8031496062992126,0.035282919090298334
overall,2400,85,15,0.85,0.035707142142714254
overall,2600,64,15,0.810126582278481,0.04412604256512355
