plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,0,2,1,0.6666666666666667,0.2721655269759087
1-ring,200,317,168,0.6536082474226804,0.021605865293953853
1-ring,400,1651,423,0.796046287367406,0.008847704149956464
1-ring,600,2762,471,0.854314877822456,0.006204599217910019
1-ring,800,2785,442,0.8630306786488999,0.006052367441374007
1-ring,1000,2204,336,0.8677165354330709,0.0067224078682336305
1-ring,1200,1531,294,0.838904109589041,0.008605318664469872
1-ring,1400,746,169,0.8153005464480875,0.012828654973368174
1-ring,1600,411,82,0.8336713995943205,0.016770942047051877
1-ring,1800,175,57,0.7543103448275862,0.028263404548936978
1-ring,2000,79,32,0.7117117117117118,0.04299362524757365
1-ring,2200,57,25,0.6951219512195121,0.05083778892069366
1-ring,2400,34,12,0.7391304347826086,0.06474307670904994
1-ring,2600,27,11,0.7105263157894737,0.07357035128653369
