plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,2,1,0.6666666666666667,0.2721655269759087
overall,200,318,168,0.654320987654321,0.02157316161332501
overall,400,1792,461,0.7953839325343985,0.008499192734714108
overall,600,3824,890,0.8112006788290199,0.005699930730294569
overall,800,4727,1206,0.7967301533794033,0.0052246226943422685
overall,1000,4386,1193,0.7861623946943896,0.005489338260079021
overall,1200,3524,958,0.786256135653726,0.006123404177007454
overall,1400,2154,584,0.7867056245434624,0.007828509939949721
overall,1600,1243,285,0.8134816753926701,0.009964900416439593
overall,1800,672,152,0.8155339805825242,0.0135118748159149
overall,2000,352,64,0.8461538461538461,0.017689734827073075
overall,2200,242,56,0.8120805369127517,0.022629622037450853
overall,2400,163,35,0.8232323232323232,0.027110032547684997
overall,2600,167,31,0.8434343434343434,0.025825057496471675
