plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,10,1752,664,0.7251655629139073,0.009082506046887501
overall,15,2548,822,0.7560830860534125,0.007397598716925976
overall,20,3328,998,0.7693018955154878,0.0064051183205951915
overall,25,3316,906,0.7854097584083373,0.0063182094144582585
overall,30,2934,831,0.7792828685258965,0.006759010106686973
overall,35,2373,623,0.7920560747663552,0.007414471136928346
overall,40,1767,391,0.8188137164040779,0.008291431037688451
overall,45,1281,185,0.873806275579809,0.008672802839777227
overall,50,928,68,0.9317269076305221,0.007991704862808912
overall,55,738,27,0.9647058823529412,0.006671414280744826
overall,60,541,19,0.9660714285714286,0.007650562942567849
overall,65,406,16,0.9620853080568721,0.00929724620060467
overall,70,322,13,0.9611940298507463,0.010551942147051097
overall,75,223,5,0.9780701754385965,0.009699183216676342
overall,80,178,4,0.978021978021978,0.010867581725995182
overall,85,122,6,0.953125,0.018682740693075187
overall,90,105,3,0.9722222222222222,0.015813195626480862
overall,95,63,4,0.9402985074626866,0.028945967245766605
overall,100,59,1,0.9833333333333333,0.01652719420071502
