plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
multi-ring,0,442,273,0.6181818181818182,0.018169099174887803
multi-ring,300,735,357,0.6730769230769231,0.014195275316059942
multi-ring,600,826,334,0.7120689655172414,0.013294630555501796
multi-ring,900,891,433,0.6729607250755287,0.012892906185002568
multi-ring,1200,1007,492,0.6717811874583055,0.012128157756394236
multi-ring,1500,1038,591,0.6372007366482504,0.011912716066890384
multi-ring,1800,1084,543,0.6662569145666872,0.011690503775463807
multi-ring,2100,1034,366,0.7385714285714285,0.011743803030577074
multi-ring,2400,956,171,0.8482697426796806,0.01068663871237315
multi-ring,2700,826,68,0.9239373601789709,0.008866213843827613
multi-ring,3000,634,16,0.9753846153846154,0.006077634592455965
multi-ring,3300,475,2,0.9958071278825996,0.00295858624689383
multi-ring,3600,354,0,1.0,0.0
multi-ring,3900,305,0,1.0,0.0
multi-ring,4200,240,0,1.0,0.0
multi-ring,4500,180,0,1.0,0.0
multi-ring,4800,147,0,1.0,0.0
multi-ring,5100,106,0,1.0,0.0
multi-ring,5400,79,0,1.0,0.0
