plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,1153,617,0.651412429378531,0.011326541905727383
overall,300,1910,687,0.7354639969195225,0.008655399692726403
overall,600,2066,629,0.7666048237476809,0.008148024515681786
overall,900,2418,748,0.7637397346809854,0.007549402513882479
overall,1200,3011,758,0.7988856460599628,0.00652906172505944
overall,1500,3193,821,0.7954658694569008,0.006366562188275497
overall,1800,3023,749,0.8014316012725344,0.006495348481542748
overall,2100,2377,597,0.7992602555480834,0.007344974800835911
overall,2400,1581,298,0.8414050026609898,0.008427211561893652
overall,2700,986,157,0.8626421697287839,0.01018166815147727
overall,3000,667,60,0.9174690508940853,0.010205562009814284
overall,3300,485,24,0.9528487229862476,0.009395065595495527
overall,3600,354,16,0.9567567567567568,0.010574480391943225
overall,3900,305,15,0.953125,0.011816002704886074
overall,4200,240,15,0.9411764705882353,0.014734689202003517
overall,4500,180,6,0.967741935483871,0.012955150466169336
overall,4800,147,6,0.9607843137254902,0.01569268099343218
overall,5100,106,6,0.9464285714285714,0.021276565456138107
overall,5400,79,1,0.9875,0.01242162932146987
