plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,0,0.0,0.0
overall,100,546,78,0.875,0.013239352277130053
overall,200,812,104,0.8864628820960698,0.010482176636212072
overall,300,607,51,0.9224924012158054,0.0104241485854172
overall,400,430,26,0.9429824561403509,0.010858595062738997
overall,500,192,8,0.96,0.013856406460551019
overall,600,138,8,0.9452054794520548,0.0188345502009752
overall,700,79,2,0.9753086419753086,0.017242530987622132
overall,800,45,1,0.9782608695652174,0.021501537175949575
overall,900,34,0,1.0,0.0
overall,1000,20,2,0.9090909090909091,0.061290896587567464
overall,1100,12,0,1.0,0.0
overall,1200,13,1,0.9285714285714286,0.0688302936899594
overall,1300,4,0,1.0,0.0
overall,1400,4,0,1.0,0.0
overall,1500,7,0,1.0,0.0
overall,1600,2,0,1.0,0.0
overall,1700,2,0,1.0,0.0
overall,1800,5,0,1.0,0.0
