plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,0,0.0,0.0
overall,100,0,0,0.0,0.0
overall,200,60,16,0.7894736842105263,0.046764385086244135
overall,300,32,12,0.7272727272727273,0.06714081326145421
overall,400,25,2,0.9259259259259259,0.05040102351405716
overall,500,11,1,0.9166666666666666,0.07978559231302818
overall,600,12,0,1.0,0.0
overall,700,6,0,1.0,0.0
overall,800,1,0,1.0,0.0
overall,900,1,0,1.0,0.0
overall,1000,1,0,1.0,0.0
overall,1100,1,0,1.0,0.0
overall,1200,2,0,1.0,0.0
overall,1300,0,0,0.0,0.0
overall,1400,1,0,1.0,0.0
overall,1500,1,0,1.0,0.0
overall,1600,0,0,0.0,0.0
overall,1700,0,0,0.0,0.0
overall,1800,0,0,0.0,0.0
