plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
overall,0,0,0,0.0,0.0
overall,100,0,0,0.0,0.0
overall,200,1967,2163,0.476271186440678,0.007771509141463552
overall,300,2451,720,0.7729422894985809,0.007439496448815841
overall,400,1658,260,0.8644421272158498,0.00781638662356221
overall,500,903,91,0.9084507042253521,0.009147133019293522
overall,600,477,41,0.9208494208494209,0.011861960629763529
overall,700,237,18,0.9294117647058824,0.016039844546234614
overall,800,150,11,0.9316770186335404,0.01988397269372578
overall,900,89,6,0.9368421052631579,0.02495658863944435
overall,1000,75,4,0.9493670886075949,0.024667207688416362
overall,1100,46,1,0.9787234042553191,0.02104903202818048
overall,1200,35,2,0.9459459459459459,0.037174611102993346
overall,1300,29,1,0.9666666666666667,0.032773069341672505
overall,1400,24,0,1.0,0.0
overall,1500,20,0,1.0,0.0
overall,1600,6,1,0.8571428571428572,0.13226001425322165
overall,1700,18,0,1.0,0.0
overall,1800,7,0,1.0,0.0
