plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,0,79,142,0.35746606334841624,0.032238090291185593
1-ring,200,2656,892,0.7485907553551296,0.0072831800393714004
1-ring,400,3378,645,0.8396718866517524,0.005784750483831492
1-ring,600,2606,373,0.8747901980530379,0.00606367431274018
1-ring,800,1809,216,0.8933333333333333,0.006859755201653467
1-ring,1000,1085,124,0.8974358974358975,0.008725418380422704
1-ring,1200,625,69,0.9005763688760807,0.01135861418834256
1-ring,1400,269,26,0.9118644067796611,0.016505541999740973
1-ring,1600,139,25,0.8475609756097561,0.028068010633710987
1-ring,1800,66,21,0.7586206896551724,0.04587781610038978
1-ring,2000,43,8,0.8431372549019608,0.050924169749476195
1-ring,2200,34,12,0.7391304347826086,0.06474307670904994
1-ring,2400,26,5,0.8387096774193549,0.06605856502852811
1-ring,2600,15,4,0.7894736842105263,0.09352877017248827
