plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
multi-ring,0,0,0,0.0,0.0
multi-ring,200,1,0,1.0,0.0
multi-ring,400,141,38,0.7877094972067039,0.030564817582284954
multi-ring,600,1062,419,0.7170830519918974,0.011704063842271151
multi-ring,800,1942,764,0.7176644493717664,0.008653257026215411
multi-ring,1000,2182,857,0.7179993418887792,0.00816247255363823
multi-ring,1200,1993,664,0.7500940910801656,0.008399440489072114
multi-ring,1400,1408,415,0.7723532638507954,0.009820766216459022
multi-ring,1600,832,203,0.8038647342995169,0.01234238693351113
multi-ring,1800,497,95,0.839527027027027,0.015085421071877938
multi-ring,2000,273,32,0.8950819672131147,0.017547148587473405
multi-ring,2200,185,31,0.8564814814814815,0.023855366016503166
multi-ring,2400,129,23,0.8486842105263158,0.029066543587362634
multi-ring,2600,140,20,0.875,0.02614562582918986
