plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,10,1345,277,0.8292231812577066,0.009343826203168358
1-ring,15,1951,293,0.8694295900178253,0.007112596406223051
1-ring,20,2468,340,0.878917378917379,0.00615625188777166
1-ring,25,2221,332,0.8699569134351743,0.006656824370065427
1-ring,30,1706,306,0.8479125248508946,0.008005864992632356
1-ring,35,1130,274,0.8048433048433048,0.010577032564568656
1-ring,40,589,198,0.7484116899618806,0.015467785611665308
1-ring,45,164,116,0.5857142857142856,0.029438377601385395
1-ring,50,16,59,0.21333333333333337,0.04730359002897803
1-ring,55,0,25,0.0,0.0
1-ring,60,0,19,0.0,0.0
1-ring,65,1,16,0.05882352941176472,0.057067205890901876
1-ring,70,0,13,0.0,0.0
1-ring,75,0,5,0.0,0.0
1-ring,80,0,4,0.0,0.0
1-ring,85,0,6,0.0,0.0
1-ring,90,1,2,0.33333333333333337,0.2721655269759087
1-ring,95,0,4,0.0,0.0
1-ring,100,0,1,0.0,0.0
