plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
multi-ring,10,407,387,0.5125944584382871,0.017738705904733226
multi-ring,15,597,529,0.5301953818827709,0.014873302667851373
multi-ring,20,860,658,0.5665349143610013,0.012719045328890673
multi-ring,25,1095,574,0.6560814859197124,0.011627289900628186
multi-ring,30,1228,525,0.7005134055904164,0.010939713816141781
multi-ring,35,1243,349,0.7807788944723618,0.010368923794932846
multi-ring,40,1178,193,0.8592268417213713,0.009392800919207718
multi-ring,45,1117,69,0.9418212478920742,0.006797106870848472
multi-ring,50,912,9,0.990228013029316,0.0032413746298643
multi-ring,55,738,2,0.9972972972972973,0.0019085150945042809
multi-ring,60,541,0,1.0,0.0
multi-ring,65,405,0,1.0,0.0
multi-ring,70,322,0,1.0,0.0
multi-ring,75,223,0,1.0,0.0
multi-ring,80,178,0,1.0,0.0
multi-ring,85,122,0,1.0,0.0
multi-ring,90,104,1,0.9904761904761905,0.009478349552916559
multi-ring,95,63,0,1.0,0.0
multi-ring,100,59,0,1.0,0.0
