plot_type,lower_bin,n_total,n_incorrect,accuracy,error_accuracy
1-ring,0,711,344,0.6739336492890995,0.014432292833806279
1-ring,300,1175,330,0.7807308970099668,0.010665252782732703
1-ring,600,1240,295,0.8078175895765473,0.010056787668371044
1-ring,900,1527,315,0.8289902280130294,0.00877284298782318
1-ring,1200,2004,266,0.8828193832599119,0.006750732373403132
1-ring,1500,2155,230,0.9035639412997903,0.0060444248193941424
1-ring,1800,1939,206,0.903962703962704,0.006361822824763253
1-ring,2100,1343,231,0.8532401524777636,0.008919425949097124
1-ring,2400,625,127,0.8311170212765957,0.013662026024020129
1-ring,2700,160,89,0.642570281124498,0.030370781968031797
1-ring,3000,33,44,0.4285714285714286,0.0563958595679802
1-ring,3300,10,22,0.3125,0.08193819126329309
1-ring,3600,0,16,0.0,0.0
1-ring,3900,0,15,0.0,0.0
1-ring,4200,0,15,0.0,0.0
1-ring,4500,0,6,0.0,0.0
1-ring,4800,0,6,0.0,0.0
1-ring,5100,0,6,0.0,0.0
1-ring,5400,0,1,0.0,0.0
